iknow00001	CES(消費性電子展)：自動駕駛系統(Autonomous System)
iknow00054	國土空間發展：前瞻趨勢
iknow00055	電子商務：反壟斷調查：華碩：定價機制：價格壟斷
iknow00056	人工智慧(Artificial Intelligence)：微軟(Microsoft)：谷歌(Google)：亞馬遜(Amazon)：臉書(Facebook)：蘋果(Apple)
iknow00057	智慧型手機(Smartphone)：三星(Samsung)：蘋果(Apple)
iknow00058	遊戲機(Game Console)：任天堂(Nintendo)：Switch
iknow00059	優步(Uber Technologies)：叫車服務(Ride-Hailing Service)：無人駕駛車(Self-driving Car)
iknow00060	蘋果(Apple)：iPad：平板電腦(Tablet Device)
iknow00061	關鍵字： USPTO：專利審判暨上訴委員會(PTAB)：多方複審(IPR)：美國憲法第11條修正案：主權豁免：佛羅里達州立大學：Covidien：醫療
iknow00062	川普：美國專利商標局(USPTO)：Michelle Lee：美國發明法案：專利複審
iknow00063	全球風險報告 (Global Risks Report)：WEF：新興技術
iknow00064	俄羅斯：工業網路：物聯網：發展路線圖：工業4.0
iknow00065	科技創新：Techcrunch
iknow00066	蘋果：三星：設計專利(design patent)：美國聯邦最高法院：專利法289條(35 U.S.C. §289)：製造物品(article of manufacture)
iknow00067	人工智慧：CES 2017：自動駕駛車
iknow00068	3GPP：5G：物聯網：英特爾
iknow00069	半導體(Semiconductor)：英特爾(Intel)：PC：資料中心(Data Center)
iknow00070	亞馬遜(Amazon)：音樂產業(Music Industry)：人工智慧(AI)：智慧喇叭(Smart Speaker)
iknow00071	俄羅斯：投資：綠色經濟
iknow00072	智慧手錶(Smart Watch)：穿戴式裝置(Wearable Device)
iknow00073	蘋果(Apple)：Apple Pay： 行動支付(Mobile Payment)
iknow00074	蘋果(Apple)：iPhone：智慧型手機(Smartphone)
iknow00075	網路設備：Plectrum LLC (NPE)：惠普：華為：思科：臉書：Jonathan Michael Rowan(律師)
iknow00076	自動駕駛：市場民調
iknow00077	美國聯邦貿易委員會：網路設備：友訊科技：網路安全：資訊安全：路由器：攝像機
iknow00078	美國聯邦貿易委員會(FTC)：智能電視：VIZIO：收視記錄：消費者隱私
iknow00079	甲骨文(Oracle)：谷歌(Google)：Android：Java：著作權(copyright)：合理使用
iknow00080	亞馬遜(Amazon.com)：谷歌(Google)：語音助理(Voice Assistant)：虛擬助理(Virtual Assistant)：智慧喇叭(Smart Speaker)
iknow00081	無人機(Drone)：智能飛行器
iknow00082	臉書(Facebook)：電視應用程式(TV Apps)：影片應用程式(Video Apps)
iknow00083	臉書(Facebook)：蘋果(Apple)：亞馬遜(Amazon)：谷歌(Google)：微軟(Microsoft)：新創公司(Startup)
iknow00084	蘋果(Apple)：iPhone：智慧型手機(Smartphone)
iknow00085	俄羅斯：3D列印 
iknow00086	雲端遊戲：Playkey：俄羅斯：DARZ
iknow00087	專利侵權：Gesellschaft für modulare Greifersysteme(GMG)：Robotiq：機械手臂夾具：夾爪
iknow00088	專利侵權：Quanergy Systems：Velodyne LiDAR：Caterpillar：雷射雷達感測(LiDAR)：自動駕駛：汽車：確認之訴(declaratory judgment)
iknow00089	第三次技術趨勢預測：技術融合(Technology Convergence)：技術匯流
iknow00090	半導體(Semiconductor)：晶圓產能(Wafer Capacity)
iknow00091	自駕車：LiDAR：營業秘密：車聯網
iknow00092	專利侵權：American GNC：LG：ZTE：全球衛星定位(GPS)：慣性測量單元(IMU)
iknow00093	通用的遙控器(universal control system)：Caavo：智慧電視(Smart TV)
iknow00094	智慧型手機(Apple)：人工智慧(AI)：智慧助理(Smart Assistant)：虛擬實境(VR)
iknow00095	微軟(Microsoft)：人工智慧(AI)：智慧助理(intelligent assistant)
iknow00096	蘋果(Apple)：人工智慧(AI)：智慧喇叭(Smart Speaker)
iknow00097	機器與機器(M2M)：M2M Solutions
iknow00098	自動化：人工智慧：機器人：全民基本收入：未來薪資結構
iknow00099	美國聯邦最高法院：專利侵權：美國專利法271條：LifeTech：境外組裝：出口組裝
iknow00100	窄頻IoT：瓦斯計量採集：NB-IoT：智慧量表
iknow00101	專利侵權：MC Robotics LLC (NPEs)：Ecovacs Robotics(中國廠商)：真空吸塵器：家用機器人
iknow00102	Line：人工智慧(AI)：語音助理(Voice Assistant)
iknow00103	作業系統(OS)：平板電腦(Tablet)：行動裝置(Mobile Device)：Chromebook：微軟(Microsoft)：谷歌(Google)：蘋果(Apple)
iknow00104	混合實境(Mixed Reality)：微軟(Microsoft)：Windows Mixed Reality
iknow00105	智慧手錶(Smart Watch)：穿戴式裝置(Wearable Device)
iknow00106	智慧型手機(Smartphone)
iknow00107	中國大陸：專利審查指南
iknow00108	柬埔寨：歐洲專利
iknow00109	專利侵權：黑莓(Blackberry)：諾基亞(Nokia)：標準必要專利(SEPs)：LTE：UMTS：UTRAN：無線接入網：4G LTE：無線通訊基地台
iknow00110	人工智慧(Artificial intelligence)：機器學習(Machine Learning)：深度學習
iknow00111	美國發明法：專利複審：美國專利商標局(USPTO)：涵蓋商業方法專利(CBM)：Secure Axcess：金融科技(Fintech)
iknow00112	專利侵權：NPEs：Inventergy：標準必要專利(SEPs)：無線通訊標準：3G：4G LTE
iknow00113	WiFi：無線區域網路(Wireless LAN)：LTE-U(LTE in Unlicensed Spectrum)
iknow00114	人工智慧(Artificial Intelligence)
iknow00115	人工智慧(Artificial Intelligence)：語音助理(Voice Assistant)：蘋果(Apple)
iknow00116	人工智慧(Artificial Intelligence)：機器學習(Machine Learning)：雲端(Cloud)：谷歌雲端(Google Cloud)
iknow00117	亞馬遜(Amazon.com)：谷歌(Google)：語音助理(Voice Assistant)：虛擬助理(Virtual Assistant)：智慧喇叭(Smart Speaker)：智慧家庭喇叭(Intelligence Home Speaker)
iknow00118	南非國際工業自動化展：工業自動化
iknow00119	專利侵權：旺宏電子(Macronix)：東芝：非揮發性記憶體(non volatile memory：VRAM)：快閃記憶體(flash memory)
iknow00120	工業用：Wi-Fi模組
iknow00121	俄羅斯：斯科爾科沃創新園區：Promobot：機器人
iknow00122	自駕車：ADAS：LiDAR：英特爾：Mobileye：智慧汽車：車用電子
iknow00123	專利侵權：Intellectual Ventures (NPEs)：Erie Indemnity：Capital One：35 U.S.C. § 101：Alice：CLS Bank
iknow00124	CAFC：USPTO：專利複審暨上訴委員會(PTAB)：多方複審(IPR)：先前技術文獻(prior art)：反向教示(teach away)：網路搜尋引擎
iknow00125	Fintech：金融科技：新創公司：創業投資：OurCrowd
iknow00126	IC設計：晶圓設計：統計
iknow00127	人工智慧(Artificial Intelligence)：深度學習(Deep Learning)：自動駕駛車(autonomous vehicles)
iknow00128	人工智慧(Artificial Intelligence)：聊天機器人(Chatbots)：語音助理(Voice Assistant)
iknow00129	半導體(Semiconductor)：半導體設備(Semiconductor Equipment)
iknow00130	混合實境(Mixed Reality)：擴增實境(Augmented Reality)：虛擬實境(Virtual Reality)：物聯網(Internet of Things)
iknow00131	無人駕駛車(Self-driving Car)：英特爾(Intel)：Mobileye
iknow00132	居家照護：安全監控：線上監控：虛擬圍欄
iknow00133	專利審查品質：TIPO
iknow00134	專利侵權：Prism Technologies：Sprint Spectrum：假設性協商：合理權利金計算：Georgia-Pacific：成本效益
iknow00135	歐盟：臉書(facebook)：Google：推特(twitter)：消費者服務條款(terms of service)：消費者保護：網路服務
iknow00136	摩爾定律(Moore's Law)：趨勢預測：人工智慧：科技政策：國家戰略
iknow00137	摩爾定律(Moore's Law)：趨勢預測：人工智慧：科技政策：國家戰略
iknow00138	人工智慧(Artificial Intelligence)：無人駕駛車(Self-driving Car)：安謀(ARM)
iknow00139	半導體(Semiconductor)：台積電(TSMC)
iknow00140	半導體(Semiconductor)：摩爾定律(Moore's law)：物聯網(IoT)
iknow00141	半導體(Semiconductor)：摩爾定律(Moore's law)：物聯網(IoT)
iknow00142	半導體(Semiconductor)：摩爾定律(Moore's law)：物聯網(IoT)
iknow00143	半導體(Semiconductor)：摩爾定律(Moore's law)：物聯網(IoT)
iknow00144	區塊鏈(Blockchain)：比特幣(Bitcoin)：語音助理(Voice Assistant)
iknow00145	蘋果(Apple)：智慧型手機(Smartphone)：筆記型電腦(Notebook PC)
iknow00146	美國聯邦最高法院：專利侵權賠償：權利懈怠(laches)：禁反言(estoppel)：SCA Hygiene：First Quality Baby Products
iknow00147	專利複審：多方複審(IPR)：禁反言(estoppel)：美國專利法315條：35 U.S.C. 315(e)
iknow00148	區塊鏈(Blockchain)：比特幣：金融科技：人工智慧
iknow00149	國際PCT專利申請：商標：工業設計
iknow00150	製造業：投資：營運：概況調查
iknow00151	胎壓感測器：著作權：著作權侵權
iknow00152	歐洲專利局：EPO：核准專利
iknow00153	ITC 337調查：愛信精機：三葉電機：電產：馬達：車用水泵幫浦：動力輔助轉向系統：車用馬達
iknow00154	人工智慧(Artificial Intelligence)：英偉達(NVIDIA)
iknow00155	半導體(Semiconductor)：DRAM：NAND型快閃記憶體(NAND Flash)
iknow00156	區塊鏈(Blockchain)：共享經濟(Sharing Economy)
iknow00157	專利侵權：中國大陸：標準必要專利(SEPs)：禁制令(injunction)：西電捷通(IWNComm)：索尼
iknow00158	智慧手錶(Smart Watch)：穿戴式裝置(Wearable Device)
iknow00159	無人駕駛車(Driverless Cars)：英偉達(NVIDIA)：微軟(Microsoft)：Alphabet
iknow00160	數位支付(Digital Payment)：Apple Pay：Samsung Pay：LG Pay
iknow00161	PAX：專利授權聯盟：專利共享：royalty-free patent licenses
iknow00162	中國大陸：企業跨境併購
iknow00163	美國聯邦最高法院：美國著作權法101條(17 U.S.C. § 101)：Star Athletica：Varsity Brands
iknow00164	中國泉州中院：4G LTE：通信專利：SEPs標準專利
iknow00165	亞洲發展展望：亞洲發展中國家：經濟成長
iknow00166	南韓科技：關鍵產業：中國追趕
iknow00167	德國漢諾威工具機展：EMO：智慧機械：工業4.0
iknow00168	人工智慧(Artificial Intelligence)：認知系統(Cognitive System)：費用(spending)
iknow00169	全球PC出貨量
iknow00170	行動支付(Mobile Payment)：Apple Pay
iknow00171	區塊鏈(Blockchain)：跨境支付(Cross-Border Payment)：支付平台：匯米匯(Remitsy)
iknow00172	歐盟：英國脫歐：專利：著作權：商標：設計：傳統歐洲專利(EP)：歐洲單一專利(UP)：歐洲單一專利法院(UPC)
iknow00173	蘋果(Apple)：智慧型手機(Smartphone)：三星(Samsung)：OLED
iknow00174	感測器與物聯網產業聯盟(SIA)：中國高端晶片聯盟(CHICA)：中國大陸：IC國家隊：十三五規劃
iknow00175	群眾募資 (Crowd Funding)：新創企業(Emerging Firms)：專利保護(Patent Protection)：專利優惠期(grace period)：專利佈局(Patent Strategy)
iknow00176	美國國際貿易委員會：ITC 337：專利侵權：營業秘密：海能達(Hytera)：一鍵通(push to talk)：行動對講機
iknow00177	國際製造設備：肯亞：展覽：KME
iknow00178	專利共同發明人：合理律師費：例外案件：美國專利法116條：美國專利法285條
iknow00179	專利侵權：CAFC：禁制令：Asetek：訊凱國際(Cooler Master)：CPU水冷散熱器
iknow00180	亞馬遜(Amazon.com)：電子商務(eCommerce)
iknow00181	亞馬遜(Amazon.com)：語音助理(Voice Assistant)：虛擬助理(Virtual Assistant)：智慧喇叭(Smart Speaker)
iknow00182	美國法院：專利訴訟統計
iknow00183	區塊鏈(Blockchain)：金融科技(FinTech)
iknow00184	無人駕駛車(Driverless Cars)：自動駕駛汽車(Autonomous Cars)
iknow00185	無人駕駛車(Driverless Cars)：福特(Ford)：特斯拉(Tesla)：Waymo
iknow00186	數位支付(Digital Payment)：行動支付(Mobile Payment)
iknow00187	美國國際貿易委員會(US ITC)：專利侵權：博通(Broadcom)：聯發科(MediaTek)：晨星半導體(MStar)：樂金(LG)：瑞軒(Vizio)：船井(Funai)：數位電視(DTV)：系統單晶片(SoC)
iknow00188	科技政策：科技部：人才計畫：人才培育：人才回流
iknow00189	專利(Patent)：請求項(Claim)：申請專利範圍(Claim)：專利佈局(Patent Strategy)：損害賠償(Damage)：專利貢獻率(Contribution)
iknow00190	百度(Baidu)：Apollo：自動駕駛平台：人工智慧
iknow00191	川普政府：H1-B簽證：美國製造：美國經濟
iknow00192	人工智慧(Artificial Intelligence)
iknow00193	區塊鏈(Blockchain)：比特幣(Bitcoin)
iknow00194	無人駕駛車(Driverless Cars)：自動計程車(Robo-taxi)
iknow00195	無線通訊：高通(Qualcomm)：黑莓(BlackBerry)：專利授權：權利金：超收權利金
iknow00196	擴增實境(Augmented Reality)：臉書(Facebook)
iknow00197	工業生產統計
iknow00198	批發：零售：餐飲業：營業額統計
iknow00199	美國聯邦巡迴上訴法院(CAFC)：USPTO：PTAB：專利複審：多方複審(IPR)
iknow00200	記憶體出口
iknow00201	歐盟：無人機：機器人：人工智慧(AI)：立法：責任歸屬：自動駕駛車：無人駕駛
iknow00202	中國大陸：WAPI：標準必要專利(SEPs)：侵權訴訟：禁售令
iknow00203	台灣：人才外流(brain drain)：勞動力外流
iknow00204	人工智慧(AI)：工業機器人：勞動力：全民基本收入(Universal Basic Income, UBI)
iknow00205	專利申請量：專利統計
iknow00206	智能家居：Apple HomeKit：SDK：Wi-Fi模組：Phytrex (釩創科技)
iknow00207	人工智慧(Artificial Intelligence)：語音技術(Voice Technology)
iknow00208	區塊鏈(Blockchain)：比特幣(Bitcoin)
iknow00209	智慧型手機(Smartphone)：谷歌(Google)：蘋果(Apple)
iknow00210	無人駕駛車(Driverless Cars)：自動計程車(Robo-taxi)
iknow00211	數位支付(Digital Payment)：行動支付(Mobile Payment)
iknow00212	定位追蹤：工業物聯網(IioT)：室內定位：即時室內定位：RealTrac 3.0：俄羅斯新創公司：RTL Service
iknow00213	專利侵權：半導體設備：光刻機(stepper)：浸潤式微影機技術(immersion lithography)：尼康：艾司摩爾(ASML)：卡爾蔡司(Carl)
iknow00214	感知式車輛操控：自駕車：偵測車況：V2V：IBM
iknow00215	歐盟：英國：華為：Unwired Planet：標準必要專利(SEPs)：FRAND：合理權利金：禁制令
iknow00216	智慧財產投資：研發投入
iknow00217	專利侵權：Hailo Technologies：Uber：Lyft：叫車服務軟體
iknow00218	新創公司：汽車導航
iknow00219	人工智慧(Artificial Intelligence)：臉書(Facebook)：Netflix：亞馬遜(Amazon.com)
iknow00220	半導體(Semiconductor)：英特爾(Intel)：三星(Samsung)
iknow00221	區塊鏈(Blockchain)：比特幣(Bitcoin)
iknow00222	無人駕駛車(Driverless Cars)：完全自動駕駛車(Fully Autonomous Cars)
iknow00223	擴增實境(Augmented Reality)：臉書(Facebook)
iknow00224	物聯網(IoT)： AR/VR/MR
iknow00225	語音助理(voice-enabled speaker)：亞馬遜(Amazon)：人工智慧
iknow00226	中國製造2025：1+X體系：先進製造：工業4.0
iknow00227	半導體營收：MCU (微處理器)
iknow00228	專利侵權：美國國際貿易委員會(ITC)：337調查：iRobot：掃地機器人
iknow00229	智能揚聲器(smart speaker)：Invoke：撥打網路電話：微軟：三星電子：數位語音助理
iknow00230	專利侵權：美國專利法101條：專利適格性：電腦軟體：抽象概念(abstract idea)
iknow00231	專利侵權：專利申請：禁止銷售(on-sale bar)：美國發明改革法案(AIA)：美國專利法102條(35 § U.S.C 102)：專利無效
iknow00232	群集智慧(Swarm Intelligence)：Surprisingly Popular (意外流行)：Unanimous：人工智慧(AI)：預測：AI演算法
iknow00233	中國大陸：汽車產業中長期發展規劃：中國製造2025：新能源汽車
iknow00234	國家基礎建設：科技政策：數位建設：數位經濟：前瞻基礎建設計畫：俄羅斯
iknow00235	行動作業系統(Mobile OS)：Fuchsia
iknow00236	區塊鏈(Blockchain)：比特幣(Bitcoin)：娛樂產業(Entertainment Industry)
iknow00237	無人駕駛車(Driverless Cars)：完全自動駕駛車(Fully Autonomous Cars)：矽谷(Silicon Valley)
iknow00238	微軟(Microsoft)：人工智慧(Artificial Intelligence)：語音助理(Voice Assistant)：智慧喇叭(Smart Speaker)
iknow00239	數位支付(Digital Payment)：行動支付(Mobile Payment)：阿里巴巴：支付寶
iknow00240	川普：美國國際貿易委員會：關稅法337條：不公平貿易競爭：營業秘密：反壟斷
iknow00241	虛擬實境：VR/AR：擴增實境
iknow00242	合理權利金：授權合約：SEPs
iknow00243	車載面板(Automotive Display)：車用市場：顯示器
iknow00244	俄羅斯：科技創新：創新發展：科技政策
iknow00245	專利(Patent)：請求項(Claim)：申請專利範圍(Claim)：專利佈局(Patent Strategy)：損害賠償(Damage)：專利授權(Patent Licensing)：專屬授權(Exclusive License)：專利非專屬授權(Non-Exclusive License)：獨家授權(Sole License)
iknow00246	網際網路：中國大陸：網路安全法：個資：資訊安全
iknow00247	歐盟：英國脫歐：反壟斷：市場競爭：併購：市場補貼
iknow00248	PCI Express標準：雲端運算：資料傳輸：高速資料中心
iknow00249	IT人才：人才短缺：教育改革：俄羅斯
iknow00250	分散式帳本(distributed cryptographic ledger)：區塊鏈 (blockchain)：金融科技
iknow00251	生物辨識行動支付(Biometrics Mobile Payment)：行動支付(Mobile Payment)
iknow00252	谷歌(Google)：人工智慧(Artificial Intelligence)
iknow00253	區塊鏈(Blockchain)：車輛產業(Automative Industry)
iknow00254	無人駕駛車(Driverless Cars)：自動駕駛車(Autonomous Cars)：叫車服務(Ride-hailing Service)：優步(Uber)：Waymo：Lyft：自動計程車(Robo-taxi)
iknow00255	蘋果手錶(Apple Watch)：蘋果(Apple)：血糖監測儀(glucose monitor)
iknow00256	PC：筆記型電腦：聯想：PC出貨量
iknow00257	美國聯邦最高法院：專利訴訟：管轄法院：TC Heartland：28 U.S.C. § 1400：28 U.S.C. § 1391
iknow00258	美國聯邦貿易委員會(FTC)：法庭意見書：高通：英特爾：三星：無線通訊：基頻晶片：標準必要專利：反壟斷：反托拉斯
iknow00259	專利侵權：Wi-LAN：聯發科(MediaTek)：晨星半導體(MStar)：數位電視：系統單晶片(SoC)
iknow00260	鴻海：投資
iknow00261	穆斯林商機：俄羅斯：IT產品
iknow00262	Micro LED (微發光二極體)：Mini LED：微型LED
iknow00263	中國法院：知識產權案
iknow00264	專利複審：專利複審無效：中國大陸
iknow00265	智慧財產權：司法保護：北京市法院
iknow00266	Apple Pay：VISA：行動支付(Mobile Payment)：數位支付(Digital Payment)
iknow00267	大疆(DJI)：通道(Autel)：無人機(UAV)：專利侵權
iknow00268	物體辦識：視障輔助科技
iknow00269	區塊鏈(Blockchain)：分佈式分類帳(distributed ledger)：以太仿(Ethereum)
iknow00270	智慧家庭(Smart Home)
iknow00271	無人駕駛車(Driverless Cars)：自動駕駛車(Autonomous Cars)：叫車服務(Ride-hailing Service)：優步(Uber)：Waymo：Lyft：自動計程車(Robo-taxi)
iknow00272	無人駕駛車(Driverless Cars)：自動駕駛車(Autonomous Cars)：叫車服務(Ride-hailing Service)：優步(Uber)：Waymo：Lyft：自動計程車(Robo-taxi)
iknow00273	AI晶片：蘋果：iPhone
iknow00274	自動駕駛車：深度學習：專利佈局：新創公司
iknow00275	美國聯邦最高法院：Lexmark：Impression Products：專利權耗盡原則(patent exhaustion)：首次銷售
iknow00276	專利侵權：虛擬實境(VR)：3維影像：Techno View IP：TDVision Systems：Sony：PlayStation 4
iknow00277	無人機：導航裝置：u-blox 
iknow00278	製造業：投資：統計
iknow00279	機器學習：深鑒科技公司
iknow00280	半導體設備產值
iknow00281	自行車：置放架：錦聖科技(King Shen Co)：昆富工業(King Roof Industrial Co
iknow00282	亞馬遜(Amazon)：人工智慧(Artificial Intelligence)：Retail專用晶片(AI dedicated chip)
iknow00283	消費性機器人(Consumer Robotics)
iknow00284	區塊鏈(Blockchain)：沃爾瑪(Wal-Mart)：無人機(Drone)：智慧物流
iknow00285	智慧型手機(Smartphone)：智慧喇叭(Smart Speaker)：智慧眼鏡(Smart Glasses)
iknow00286	無人駕駛車(Driverless Cars)：自動駕駛車(Autonomous Cars)：乘客經濟(Passenger Economy)：英特爾(Intel)
iknow00287	PTAB：專利複審：多方複審(IPR)：立案前審查：最終複審決定
iknow00288	交通信號控制系統：智能交通：智能運輸：智慧城市
iknow00289	自駕技術：車聯網：5G：V2X
iknow00290	博士：培育策略：產學合作：高階人力
iknow00291	觸控：觸控面板：歐菲光：宸鴻(TPK)：鴻海：GIS業成
iknow00292	台積電：蘋果：華為：半導體晶片：智慧型手機：多種子層結構(multiple seed layers)：FinFET製程：半導體封裝
iknow00293	汽車：工業控制：FRAM解決方案：記憶體
iknow00294	物聯網：技術標準：標準組織
iknow00295	多方複審(IPR)：請求項解釋：放棄聲明(prosecution disclaimer)：禁反言
iknow00296	美國專利商標局(USPTO)：局長：Michelle Lee
iknow00297	自動駕駛車(Autonomous Cars)：自動駕駛隨選行動服務(Autonomous On-Demand Mobility)
iknow00298	亞馬遜(Amazon.com)：谷歌(Google)：語音助理(Voice Assistant)：HomePod：智慧喇叭(Smart Speaker)：蘋果(Apple Inc.)
iknow00299	俄羅斯：mHealth：行動醫療
iknow00300	海峽兩岸：新型顯示產業：未來顯示技術：趨勢與機會：Micro LED
iknow00301	區塊鏈(Blockchain)：微軟(Microsoft)：雲端(Cloud)：以太仿(Ethereum)：Azure雲端平台 BaaS
iknow00302	數位支付(Digital Payment)：行動支付(Mobile Payment)：蘋果(Apple Inc.)：Apple Pay：NFC
iknow00303	擴增實境(Augmented Reality)：臉書(Facebook)：蘋果(Apple Inc.)
iknow00304	5G標準：5G使用頻段：中國大陸
iknow00305	車載面板：中小面板
iknow00306	物聯網：技術標準：標準組織
iknow00307	專利侵權：LED封裝：億光電子(Everlight)：Bridgelux：LED晶粒封裝
iknow00308	英特爾：SoFIA晶片：手機晶片
iknow00309	專利侵權：NPEs：Visual Effect Innovations (專利授權公司)：英偉達(Nvidia)：3D Vision：3D眼鏡：管轄法院
iknow00310	專利侵權：Pico Byte Systems：US 7,771,981：IEEE 802.15.1無線技術標準：藍芽
iknow00311	華為：FRAND協議：禁售令：SEPs 權利金
iknow00312	電動車：歐洲市場：俄羅斯：補貼政策
iknow00313	Micro LED：顯示器：OLED：TFT-LCD
iknow00314	電動車：電動車成本估算：拆解電動車：BOLT：Tesla：成本分析
iknow00315	3D列印：智能藥丸
iknow00316	生物晶片：心臟晶片：器官晶片
iknow00317	自動駕駛車(Autonomous Cars)：蘋果(Apple Inc.)：人工智慧 (AI)
iknow00318	亞馬遜(Amazon)：零售通路(Retail Channel)：電子商務(eCommerce)
iknow00319	區塊鏈(Blockchain)：華爾街(Wall Street)
iknow00320	商用無人機：drone：歐盟
iknow00321	新創公司(Start-up)：人工智慧(Artificial Intelligence)：Element AI
iknow00322	數位支付(Digital Payment)：行動支付(Mobile Payment)：蘋果(Apple Inc.)：點對點行動支付(Peer to Peer Mobile Payment： P2P Mobile Payment)
iknow00323	複製器官：3D生物列印
iknow00324	5G：行動通信：發展近況
iknow00325	Lexmark：專利權耗盡原則：授權合約：授權銷售：專利授權
iknow00326	僑外投資
iknow00327	​研華：工業物聯網：聯盟策略：開放式標準：IoT 感知平台 ：M2.COM：物聯網閘道器
iknow00328	外銷訂單
iknow00329	區塊鏈(blockchain)：ID網路：ID2020：生物辨識(biometric)
iknow00330	雙攝像頭(duel camera)：華晶光：歐菲光：攝像模組：3D手機
iknow00331	VR/AR：頭戴顯示器
iknow00332	可折疊式手機支架：Popsockets：美國ITC：中國公司：手機周邊：手機配件
iknow00333	諾基亞：智能手錶：體重秤：血壓計
iknow00334	 智慧型手機：市占率
iknow00335	專利侵權：北京市高級人民法院：賠償金：專利權怠惰：法定賠償：設計空間：外觀設計
iknow00336	5G：蜂巢式網路(Cellular Network)：無人機(Drone)
iknow00337	自動駕駛車(Autonomous Cars)：博世(Bosch)
iknow00338	區塊鏈(Blockchain)：微軟(Microsoft)：雲端(Cloud)：以太仿(Ethereum)
iknow00339	擴增實境(Augmented Reality)：人工智慧(Artificial Intelligence)
iknow00340	擴增實境(Augmented Reality)：虛擬實境(Virtual Reality)：蘋果(Apple Inc.)
iknow00341	Deshodax (專利授權公司：NPE)：Qisda (BenQ)：圖像處理裝置
