PG11009-0073	志願服務
PC11007-0123	腫瘤相關巨噬細胞：絲胺酸蛋白酶：免疫抑制：免疫治療
PB11007-0235	物件偵測：物件追蹤：室內物件定位與導航：擴增實境：360 度攝影機：即時定位與地圖構建：三維建模：室內設計：三維人員軌跡分析：三維人員行為分析：以人為中心之空間與動線規劃
PC11007-0125	塑化劑暴露：代謝效應：氧化壓力：dna甲基化：中介變項分析
PC11007-0146	旋轉肌腱：肌肉細胞：肌纖維：肌母細胞：脂肪化：高壓氧：高濃度血小板血漿：張力：即時細胞增生平台
PF11007-0203	品牌文化創新：永續消費：消費幸福感：文化資本：消費文化理論(cct)：混合研究法：食物浪費：動物福利
PC11007-0132	結核病：結核菌：藥物感受性測試：奈米孔定序：精準醫療
PF11007-0214	cuban：教學史：美國中小學：譯注
PF11007-0215	無人機：無刷馬達：馬達驅動器：高效率
PB11007-0308	穿透式游離腔：射束位置監控元件：高劑量率短時間的照射
PA11007-0157	保護區：船隻噪音：養殖噪音：響應潛伏期：雀鯛：石斑魚
PC11007-0172	表觀遺傳學：真菌：二次代謝物：組蛋白去乙醯基酶：單核苷酸多態性
PF11007-0295	急診動向：急診檢傷：機器學習：深度學習
PB11007-0436	訊號偵測理論：roc曲線：手眼協調策略：眼動儀：玩家類型
PB11007-0438	twist1：osgin1：上皮-間質轉化：自噬作用：化療抗藥性：癌細胞幹細胞化：細胞凋亡：多元不飽和脂肪酸：肝癌
PF11007-0251	泛自閉症/廣泛性發展障礙孩童：社會注意力：基本執行功能：智慧型機器人：單一受試法
PA11007-0184	液晶：高分子：奈米粒子：透鏡：透鏡陣列：紅螢烯：螺旋相位板
PB11007-0363	最佳化設計：可靠度：單迴圈：支撐向量機：生物共生搜尋法：克利金法
PF11007-0348	營業秘密：域外使用：商業間諜法：反托拉斯法（反不正競爭法）：法人犯罪
PB11007-0582	人工智慧：深度學習：卷積神經網路：鋼筋混凝土：敲擊回音：非破壤檢測：裂縫：鋼筋：雙譜分析：時頻分析：小波轉換：經驗模態分解：本質特徵函數：頻譜斷層影像
PF11007-0372	論質計酬方案：思覺失調症：糖尿病：共病：整合性照護模式
PF11007-0373	自然語言理解：對話機器人：無人駕駛：智慧輪椅
PB11007-0449	化學預防標靶：免疫檢查點阻斷療法：免疫化療：腫瘤生成
PE11007-0149	高齡研究：探索與目標型介面：虛擬實境：沉浸度：科技接受度：介面使用性：情感效價與喚起：運動促進
PC11007-0424	目標設定：決策輔助工具：職能治療：中風
PE11007-0176	閩南：《三春演義》：《正德戲文》：《劉瑾戲文》：《魏監戲文》
PB11007-0784	抗癌：腸道菌相：聚胺酸：嵌段高分子：無規線團-折板：協同治療：益生菌：生醫材料
PF11007-0429	憲政體制：國會選舉制度：總統選舉制度：政黨體系：政府型態
PG11003-0226	電動輔助自行車控制器：foc向量控制：窄頻物聯網：通訊協定：物聯網：無線通訊：電動輔助自行車檢測服務：自行車人因量測平台
PG11002-0138	iab設備：5g：車聯網：wi-fi 6e
PG11002-0237	心衰竭：疲憊：睡眠品質：加護病房
PG11002-0186	醫療器材：軟體變更：電腦輔助診斷偵測
PG11002-0316	兒童健康：出生世代研究：先驅調查
PG11003-0411	口腔癌前病變：危險性評估：分子生物標記：念珠菌：單細胞分析
PG11003-0412	鋼構件：防火被覆：耐火試驗
PG11003-0448	沼液：土壤：高解析質譜：新興污染物：化學輪廓
PG11006-0272	足部壓力：足部護具：肌肉骨骼痠痛
PG11007-0013	石墨烯量子點：光檢測元件：二維材料：氧化鋅
PC11007-0301	粒腺體：急性肺損傷：急性呼吸窘迫症候群：肺泡上皮細胞：長鏈脂肪酸氧化
PF11007-0354	人工智慧：素養：學習環境：學習方式：課程開發：過勞：道德敏感度
PE11007-0117	近世戲劇：光學：文學與科學：戲劇技術
PF11007-0381	口語演說：白板動畫：公眾演說焦慮：混成式學習：第二語言教學
PA11007-0280	空間燒孔效應：空間燒孔效應：魔梯：週期性脈衝激發
PF11007-0383	非通用會計準財盈餘：投資效率性：揭露：代理問題
PB11007-0587	雨生紅球藻：蝦紅素：微藻養殖：脂質體包覆磷脂質：卵磷脂
PB11007-0588	高分子電解質燃料電池：氧氣還原反應：原子級金屬觸媒：奈米載體：異質原子摻雜
PD11007-0069	小黃瓜：感測：生理建模：生長指標：大數據：多元分析：數位化
PC11007-0259	pm2.5：齊墩果酸：微脂粒：肝纖維化
PG11006-0212	儲能系統：運轉模式：運轉成本
PG11007-0020	浮台繫纜：水工試驗：數值模擬
PA11007-0104	同位素化學標誌：合成卡西酮：固酮體學：標的代謝體學：有機酸：定量質譜技術
PG11003-0390	安全管理系統：操作指引：臺灣鐵路管理局
PG11003-0414	文創園區：文化創意產業：藝術特區：文化資產：文化園區：創意園區：產業園區活絡：文化專用區
PC11007-0147	腫瘤壞死因子相關性細胞凋亡誘導配體：腫瘤壞死因子相關性細胞凋亡誘導配體受體：t細胞活化：細胞凋亡：自體免疫性發炎
PB11007-0266	人工智慧：神經網路：容錯：可靠性設計：算術權重：乘積碼：量化：自我檢查：近似計算：殘數系統：線段函數：範圍可定址記憶體：硬體加速器
PB11007-0295	評論評價評估：評價彙整：分群方法
PD11007-0047	神經壞死病毒：鞘蛋白：細胞核仁移位：病毒-宿主交互作用
PF11007-0226	相互協作文化：建構：意義驅動：課程評鑑：想法中心：價值建立：需求
PF11007-0230	同理技巧：職能治療：實習學生：客觀性結構化臨床技能測驗
PD11007-0040	豆類金黃嵌紋病毒屬：菸草粉蝨：外殼蛋白：複合感染：病媒傳播
PF11007-0173	自閉症類群障礙：自閉症類群障礙幼兒篩檢工具：敏感度：特異度
PF11007-0174	教育資料探勘：序列分析：深度學習：學習行為模式：程式設計教育
PC11007-0135	抗病毒藥：蚊媒病毒：抗真菌藥：棘白菌素：聯合療法：天然物：科學中藥
PA11007-0185	中主子化合物：氮雜環碳烯：催化：鈀金屬：配位基：有機金屬骨架：質子傳導
PB11007-0364	團體推薦系統：聚合策略：線上產品評論：混合式偏好-推薦聚合演算法：屬性
PE11007-0094	烏托邦小說：蒐集品和蒐集：博物館：策展人權力：古物主義：物件
PA11007-0198	鈣鈦礦太陽能電池：電洞傳輸材料：三苯胺：功率轉換效率：室內光：有機半導體
PA11007-0203	森林：自然資源保育：生態：土壤棲地環境
PB11007-0417	下世代行動通訊：行動邊緣運算：物聯網：開放式無線存取網路：智慧網卡
PF11007-0281	比較教育理論：方法論：知識史：歷史學研究：檔案分析
PF11007-0282	學徒制：技職教育
PC11007-0225	黴菌感染：熱帶念珠菌：唑類抗黴菌藥：抗藥性：親源關係：田間試驗
PB11007-0834	穿顱磁電複合刺激系統：腦機介面：中風：癲癇：腦波
PC11007-0373	主纖毛：中心粒：中心粒附肢結構：粒線體：液-液相分離
PB11007-0662	文化導向地方塑造：創意城市：地方創生：國家：政策拼裝
PB11007-0786	研磨液：化學反應：銅及鈷金屬：分子動力學：化學機械研磨
PF11007-0461	老年憂鬱症：照顧者：照顧負荷：憂鬱：孝道信念：依存感：縱貫研究：成年子女
PG11004-0190	輔具產品通用設計競賽：輔具優質市售產品評選：溝通智慧輔具安全檢測標準與驗證能量：行動智慧輔具檢測標準與驗證能量：無障礙智慧輔具檢測標準與驗證能量：個人智慧輔具檢驗標準與驗證能量：智慧照護輔具產品國際最新管理制度與福祉推動研討：智慧輔具通用設計推廣與國際交流
PG11002-0283	海洋環境：海氣象：海流：潮流：波浪：季風：氣候變遷：科普
PG11002-0320	大型教育評比：評量架構：學習成效
PG11002-0281	精準醫療：精準醫療分子檢測與服務：生技產業策略諮議委員會議
PG11003-0021	毒品緩起訴個案：病識感：戒癮治療
PG11002-0325	綠建築：都市更新：容積獎勵：減碳
PG11003-0009	價格訪查：穩定物價：奶粉
PG11001-0517	組織工程血管：去細胞：外膜
PG11003-0235	法人科專計畫：科專計畫管理：補助類計畫：委辦類計畫：科發基金類計畫
PG11001-0523	不良反應
PG11004-0078	枸骨葉：中藥
PG11003-0466	暴潮：溢淹模式
PG11003-0467	輻射災害：緊急應變
PC11007-0336	斑珠蛋白：睪丸激素：pi3k/akt信號通路：β-連環蛋白：雄激素受體
PA11007-0279	竹嵌紋病毒：脂質轉運蛋白：葉綠體：病毒複製
PE11007-0128	語言與學科內容整合教學：沈浸式教學：小學：教師觀點：教師施為
PE11007-0106	馬丁·布伯：對話哲學：《人的問題》
PC11007-0271	雙相情緒疾患：精神病症經驗：社會認知：發炎反應：早期不良經驗：皮質邊緣系統：興奮性和抑制性神經迴路的平衡：多重神經影像技術
PB11007-0490	多元素材料：形貌：組成：鋰電池
PF11007-0333	文本分析：哲學詮釋學：認識論：課程藍圖：議題抉擇判斷
PF11007-0334	健康：多群組比較：運動阻礙處置
PB11007-0491	ppgis：權益關係人：社區監測：培力：地理空間資訊：運作與檢討架構
PC11007-0304	外傷影像：深度學習：深度類神經網路：人工智慧：影像辨識
PC11007-0306	a型鏈球菌：胞外囊泡：冷凍電子顯微鏡：蛋白質體學：蛋白質結晶學：x光小角度散射
PC11007-0274	腎素：血管張力素原：血管張力素：腎上腺皮質醛固酮：腎素-血管張力素-腎上腺皮質醛固酮系統：高血壓：糖尿病：代謝症候群：肥胖：慢性腎病
PF11007-0336	大數據：統計學：商業直覺：數據科學：餐旅觀光
PA11007-0257	恐龍：鳥類：飛行行為：骨組織微結構：3d斷層掃描：同步輻射
PA11007-0259	磁性與超導：非彈性中子散射：極化中子散射：磁激發：手性螺旋磁性：磁受挫：多鐵
PC11007-0339	瘦素：缺血性腦中風：發炎：微膠細胞：脂質小滴：外泌體：微膠細胞m2表型
PB11007-0199	自動駕駛汽車：智慧決策系統：智能決策
PF11007-0141	保險：天氣效應：特定日期效應：資訊不對稱
PF11007-0142	代間學習：高等教育：教師專業學習社群：高齡教育：教學
PF11007-0090	一般自我迴歸條件異質模型：狀態轉換：結構性改變：投資人情緒
PC11007-0061	深腦部刺激術：巴金森氏病：影像後製：深度學習
PG11003-0410	禽流感：新型a型流感：禽畜相關工作及動物防疫人員：血清流行病學調查
PG11004-0087	健康照護：智能：創新：設計思考：人才培訓
PB11007-0276	無銅nao磨擦材料：層狀結構碳材料：礦物磨擦改質劑：導熱性陶瓷：煞車襯墊
PA11007-0144	有限體：不可分解多項式：單項跡多項式
PC11007-0173	伴護蛋白質dnab6(mrj)：mrna結合蛋白：人類呼吸道融合病毒：新型冠狀病毒：類胰島素生長因子2 mrna結合蛋白3
PF11007-0232	溝通技巧：職能治療：電腦適性測驗
PB11007-0310	鎳鈦旋轉器械設計：動態有限元素分析：切削力學：根管製備：器械疲勞測試：生物力學評估
PB11007-0215	平面圖：導出子圖：演算法
PB11007-0396	還原蝦紅素：包埋：錯合凝聚：山香種子黏液：應用
PB11007-0405	植化素：粒線體自噬：選擇性細胞自噬：化療敏感性：抗腫瘤機轉
PC11007-0222	搖頭丸：噪音暴露聽力損傷：血清素轉運體：多巴胺轉運體：小動物正子斷層造影
PB11007-0406	停經：肥胖：脂肪發炎：胰島素抗性：粒線體動態：白色脂肪棕色化：山奈酚
PE11007-0095	威廉．福克納：《聖殿》：美國夏娃：女力：後女性主義
PA11007-0207	質譜術：非數據依賴擷取：swath：電子轉移裂解：食品摻偽：即時直接分析：表面輔助雷射脫附游離：蛋白質體學：代謝體學
PF11007-0304	資產重置性：股利政策：代理成本：財務約束：自由現金流問題
PA11007-0221	早期宇宙：暗物質：類星體：早期星系：球狀星團
PC11007-0253	神經膠質母細胞瘤：鳶尾素：運動：肌肉激素：細胞侵襲：鐵依賴型細胞死亡
PF11007-0258	國家自豪感：社會接觸：社會認同：政治社會化：理性抉擇
PB11007-0403	音訊盲浮水印：快速傅立葉轉換：感知向量範數調變：向下漸進量化索引調變：邊界約束的迭代調整：降噪自動編碼器：聽覺遮蔽效應
PF11007-0246	探究與實作：模組系統：居家生物：非藥劑蟲害防治：生態偏好
PE11007-0093	魏晉：女性：魏晉文學：女性題材
PB11007-0332	維修保養排程：機器學習：預測維修保養：先進規劃排程
PB11007-0423	樗葉花椒醇：抗肝癌惡化：抗肝纖維化
PB11007-0425	強化學習：生成對抗網路：生產規劃與排程：智慧製造：基因演算法
PC11007-0203	特殊學名藥：複方製劑：中樞神經用藥：健保資料庫：多重用藥：google專利檢索：藥品專利申請：專利訴訟：產官學合作：人工智能：深度學習類神經網路
PG11005-0057	船舶自動識別系統：空污aqi指標：wrf氣象模式：cmaq網格模式：空品預測
PG11006-0034	仿真子彈：非制式子彈：顯微拉曼光譜：顯微紅外光譜：有機射擊殘跡：微物跡證
PG11003-0221	腫瘤微環境：抗cd73 抗體：抗tigit抗體：抗體藥物複合體：分子影像：攝護腺癌蛋白靶向性放射配體療法
PG11003-0023	毒品緩起訴個案：戒癮治療：分流處遇
PG11001-0600	研究計畫：文字雲
PG11003-0251	兒童與青少年：智能障礙：精神藥物：使用趨勢
PG11004-0014	光催化透水性反應牆：模組化：含氯有機物：現地整治：綠能系統
PG11004-0052	土壤整治：地下水整治：lnapl：可再生材料
PB11007-0591	供應鏈：人工智慧物聯網：先進駕駛輔助系統：巨量資料分析：可伸縮式雲端運算：機器學習
PE11007-0129	老布魯格：破壞宗教圖像風暴：十六世紀：尼德蘭藝術史：當代史
PB11007-0461	防淤隧道：磨耗：混凝土：閘門開度：含砂水流
PB11007-0462	降壓型轉換器：耦合電感：交錯式轉換器：柔性切換：零電流切換：零電壓切換
PB11007-0493	懸吊：實車測試：車輛調校：穩健設計
PD11007-0073	益生菌：飼料：葡萄糖：雷帕黴素標靶蛋白複合體1：健康狀況
PB11007-0464	長期記憶：短期可塑性：無選擇器電阻式記憶體：六方氮化硼：cmos兼容製程：2d交疊式陣列：spice模型
PF11007-0312	自駕公車：心理帳戶理論：感知風險：混合個體選擇模式：網絡程序分析法
PB11007-0465	電化學觸媒：多孔氮碳材料：金屬空氣電池：水分解：產氫技術
PF11007-0313	翻轉教學：護理概論：行動研究
PF11007-0337	包容性運輸：需求反應式公共運輸服務：無人駕駛小巴：人工智慧：車輛路徑問題
PE11007-0130	感性工學：介面設計：使用者研究：眼球軌跡追蹤：放聲思考
PB11007-0599	可連續監測光化指標：轉變值判斷公式：整合排放源分配法：臭氧前驅物貢獻
PE11007-0108	部分整體學：部分：整體：圖靈：圖靈化約：圖靈複雜度：可計算模型：可計算維度：複雜度光譜：可決定：不可決定：可遞迴枚舉：波斯特問題
PA11007-0228	鈍氣化學：鈍氣鍵能：含鈍氣分子：克里奇中間體：臭氧化反應：穿隧效應：反應動力學：變位過渡態理論：近邊界x射線吸收光譜
PC11007-0260	小腦脊髓運動失調第三型：泌尿上皮癌：ahnak2：pten：前胸腺素
PF11007-0091	長照2.0：長照abc團隊：長照整合服務：以人為本照顧：以人與家庭照顧者為本照顧：以人與家庭照顧者整合式照顧服務：社區式長照服務：日間照顧：c 據點：失智症照顧社區據點：多階層以人為本照顧評估工具：高齡者：被照顧者：照顧者：宏觀：中觀：以及微觀以人為本服務
PB11007-0168	高光譜成像：光學微鏡陣列：光柵：感測器：砷化鎵銦感測器
PC11007-0076	金黃色葡萄球菌：細胞表面蛋白質組：蛋白水解削取法
PC11007-0077	鼻竇炎：環氧合酶-2：可溶性環氧化合物水解酶：微神經膠細胞：嗅球：小鼠
PF11007-0075	股市：匯率：狀態轉換模型：vine copula
PG11006-0126	亞洲•矽谷推動方案：全通路零售：智慧零售：智慧物流：消費服務體驗：物聯網：大數據：供需平衡
PG11004-0082	毒品犯：輔導處遇：re-aim模式
PG11004-0072	能源科技：計畫管理：業界能專
PG11003-0231	急性骨髓白血病：骨髓化生不良症候群：克隆性造血：次世代定序：動物模型：藥物篩選
PG11003-0253	化療引發之周邊神經病變：化療引發之中樞神經病變：化療引發之振動感覺異常
PE11007-0080	禪師：女性：東南沿海：晚明清初：佛教：嘉興藏
PA11007-0146	非局部柯西問題：狀態記憶：定點定理：非緊緻測度
PB11007-0311	發電效益：節能效益：透光模組：製成：效益：太陽能：玻璃
PC11007-0174	小樑網細胞：乙型轉化生長激素：水飛薊素：交聯肌動蛋白網絡
PB11007-0251	製程良率：貨批判定：作業特性函數：平均抽樣樣本數：平均出廠品質：圖形化使用者操作介面
PC11007-0137	阻塞性睡眠呼吸中止：下顎前置器：連續陽壓呼吸器：上呼吸道：氣室空間：塌陷度：磁共振頻譜：脂質成份：核心肌群：影像引導：肌肉功能治療：個人化治療
PC11007-0241	口咽癌：葡萄糖正子影像：深度學習：預後
PB11007-0439	異質晶片整合：堆疊晶片擺置設計：混合模式散射參數：高頻結構模擬器：廣義指數衰減模型：反應曲面方法：粒子群優化
PF11007-0252	醫學教育：同理心：電腦視覺：微電影
PB11007-0366	新型冠狀病毒：病毒蛋白酶：深度學習：遷移式學習：生成對抗網路
PF11007-0253	大學國文：自我覺察：同理心：人際溝通技巧
PD11007-0059	東方蜂囊狀幼蟲病毒：西洋蜂囊狀幼蟲病毒：次世代定序：抗病基因：病毒防治資材
PC11007-0218	nadp+/nadph庫：線粒體nad激酶：腫瘤相關巨噬細胞：癌症發展
PB11007-0418	延性破壞：彈塑性邊界元素分析：內含物：孔隙：結構鋼材
PF11007-0284	共同創造力：區域同質性：擴散張量成影：行動化創造思考教學：神經可塑性
PF11007-0286	工會：議價力：營運槓桿：財務避險：風險管理
PF11007-0300	重新分配稅收：特質風險：社會保險：福利措施
PF11007-0247	虛擬實境：青少年：注意力：競爭：合作：文字：圖畫
PF11007-0248	企業社會責任：公司治理：股利政策
PB11007-0389	生酮飲食：間歇性禁食：卡路里限制：生酮反應：穩定同位素：代謝追蹤平台：碳源供應：代謝途徑重塑：單碳代謝：腺苷甲硫胺酸
PF11007-0265	國際轉包關係：國際買方壓力：綠色創新：聯合學習雙向性：由外而內行銷能力
PB11007-0335	電池健康狀態：電池容量
PG11002-0124	靜磁療法：心率變異：肢體手術
PG11003-0456	海洋文化：海洋驛站：教育推動：社會教育：文化資產
PG11003-0222	雷射積層製造技術：肌腱/韌帶固定裝置：生物陶瓷：生物可降解：複合材料
PG11003-0225	藥物分析：藥物溶離試驗：評估藥物吸收
PG11006-0225	國際標準：技術貢獻：關鍵智財權：第五代行動通訊：車載資通訊：動態影像專家群組
PG11002-0079	十二年國民基本教育：課程實施：素養導向課程：國民小學
PG11004-0079	新創團隊：新創企業與小中大型企業共同合作：創新驅動數位轉型：雲端共創：創新產品/服務試煉：創業共創
PG11004-0086	磁性生物碳：鐵錳改性：三價砷：模廠性能測試
PA11007-0238	dna適體：半乳醣凝素-1：神經纖毛蛋白-1：癌症免疫治療
PE11007-0110	出土文獻：先秦儒家：心性：政治
PC11007-0308	乾癬：去磷酸酶：雙特異性去磷酸酶：t 細胞
PC11007-0309	白內障：固醇分子：細胞膜：圓二色光譜儀：小角度ｘ光散射：多片層x光繞射：低溫電子顯微鏡
PB11007-0538	癲癇：激光散斑對比成像系統：功能性光聲造影顯微術：電生理：神經活性：血腦屏障
PB11007-0466	鎳鈦基合金：形狀記憶合金：形狀記憶：智慧製造：智慧機械：沖壓成形：金屬板件：模墊：壓板：板材沖壓成形
PB11007-0467	鋼材(線)：熱處理：球化：金相：深度學習：卷積神經網路
PF11007-0339	印度：東南亞：多邊機制：孟加拉灣多部門技術經濟合作倡議：湄公河流域合作計畫
PB11007-0496	自動光學檢測：線路瑕疵檢測：印刷電路板檢測：深度學習：語意分割：實例分割
PB11007-0497	自駕車：慣性導航：全球導航衛星系統：光達：高精地圖：多元感測器融合
PF11007-0338	反向學習：眼眶前額葉：杏仁核：紋狀體：神經共振：共振機率
PB11007-0468	溪流型土石流：微地形概念：流體化崩塌：堰塞河道：區位判釋模式：潛勢評估模式
PB11007-0469	壓電位移平臺：行進波：壓電感測器：希爾伯特變換
PF11007-0314	精準健康：創客：物聯網：人工智慧：心律
PC11007-0262	腫瘤免疫逃脫：大腸直腸癌：泌尿道癌：骨架蛋白重組：免疫耐受性腫瘤
PF11007-0340	歷史控制：政策評估：組合控制
PB11007-0499	未授權頻譜：異質網絡共存：nr-u：波束成形：跨層設計
