PG10605-0204	冷鏈物流：智慧物流：高運力：供需調度：跨國通路
PG10512-0159	hiv 預防介入措施：hiv 與性病篩檢：暴露前預防投藥：服藥遵從性：預防諮商及整合照顧模式
PG10512-0226	高氯酸鹽：食物：背景值：飲食暴露風險評估：風險溝通說帖
PG10611-0032	1999台北市民當家熱線：服務效能優化：客服中心績效評估
PG10512-0122	內視鏡超音波：胰臟囊狀腫瘤
PG10606-0030	太陽光電模組：太陽光電性能：草案研擬與審查：檢測
PG10606-0033	需量反應：聚合商：智慧電網：互通性：檢測驗證
PG10610-0003	虛擬實境：勞工安全意識：營造業：石化業
PG10610-0004	結構缺陷檢測技術：振動：頻譜分析
PG10605-0072	細懸浮微粒：交通影響因子：交通流量
PG10605-0117	油品：土壤：底泥：生物指標化合物
PG10605-0076	閃化蒸氣：水分回收
PG10611-0075	臺北市立圖書館：滿意度調查：公共圖書館
PG10605-0068	亞洲•矽谷推動方案：全通路零售：智慧零售：智慧物流：消費服務體驗：物聯網：大數據：自動化物流
PG10605-0064	國內旅遊：出國旅遊
PG10604-0140	十二年國教：素養導向：數學教育
PG10606-0080	電子商務：物流：運籌：供應鏈管理：物流通道：運籌中心：商品流通
PG10604-0141	弱勢生活照顧：氣候變遷：跨國經驗
PG10605-0079	開放政府資料：資料開放：政府資料：開放資料：政府資訊：資訊開放：政府開放資料：政府資料開放
PG10605-0227	沖壓：試作：試量產
PG10605-0042	高血壓：高血糖：高血脂：盛行率：發生率：調查
PG10601-0005	台江國家公園：海洋資源：生物多樣性保育：魚類：甲殼類：黑水溝(臺灣海峽)：澎湖水道：七股潟湖
PG10601-0069	科技創新：政策規劃：政策治理
PG10604-0143	毒品：巨量資料：春暉輔導個案
PG10612-0119	非法藥物：毒品：全國調查：電腦輔助式自我訪談：分層多階段隨機抽樣
PG10603-0225	產學合作：質子放射治療：生活品質：臨床試驗協調運籌中心：分子診斷：幹細胞：冠心病：腎臟病
PG10603-0209	第四代行動通訊：第5代行動通訊：國際標準：技術貢獻：第三代合作夥伴計畫
PG10801-0633	原住民族語學習：原住民族語教育：教學教材教具
PG10605-0069	電力調度：直供：電業自由化
PG10607-0082	長期照顧：居家護理：照護服務
PG10604-0139	冷鏈物流：城市物流：物流歷程：多溫共配：儲運管理：電子商務：資通訊技術：環境感測技術
PG10605-0053	重金屬：膳食暴露：風險評估
PG10605-0013	cns13518：cns13519：cns13520
PG10605-0005	導電高分子：鈣鈦礦：太陽能電池：疊層：穿戴式電子零件
PG10605-0009	社會風險：能源工程模型：熱管：微型太陽電池模組：固態氧化物燃料電池：智慧型電網：離岸風力技術：氣化技術
PG10502-0133	乳房攝影儀：電腦斷層掃描儀：透視攝影儀：輻射醫療曝露品質保證
PG10605-0238	再生醫學：幹細胞：細胞治療：產學鏈結：人才培育：法規科學：健康政策：健康諮詢
PG10612-0062	廢印刷電路板：回收
PG10609-0028	臺灣浪漫大道：德國：日本：1895：臺三線
PG10601-0619	動脈硬化：光體積測量技術：血管年齡
PG10601-0624	英語教育：第二外語：語文教育政策：教育政策
PG10601-0485	西藥藥品優良製造規範：國際醫藥品稽查協約組織
PG10602-0045	產業中小用戶：節能診斷服務中心：工業評估中心
PG10601-0189	科技專案：績效管理：績效評估：成果推廣
PG10601-0304	母子傳染、抗病毒藥物、b型肝炎e抗原、孕婦：b型肝炎、b肝表面抗原定量、周產期傳染、病毒量：醫護人員、a型肝炎、b型肝炎、c型肝炎、d型肝炎、e型肝炎、標準防護措施安全衛生、感染控制
PG10605-0173	書店：書店普查：書店營運調查：營運調查
PG10506-0022	放射治療：放射治療品質保證：醫用直線加速器：遙控式後荷近接治療機：電腦斷層治療機：電腦刀：加馬刀
PG10601-0335	能源統計：電力排放係數：燃料燃燒溫室氣體排放統計：工業部門能源消費調查：能源流程圖：能源統計刊物：能源統計制度
PG10501-0797	標準參照評量：國中生學習成就評量標準：高中課程：研發模式：十二年國教
PG10612-0185	金屬穩定同位素：環境鑑識：廢棄物
PG10508-0071	等溫除濕：薄膜：廚房油煙：油水雙疏：導電高分子：靜電集塵機
PG10606-0090	去識別化：物聯網：可被識別：資料控管者：建檔系統：匿名化
PG10606-0036	代輸規則：代輸合約：直供
PG10603-0121	精微製造：系統整合：智慧化：先進製造：客製化：複合製程
PG10602-0375	5g小基站：國際行動通訊2020：低功耗廣域無線通訊：機器型態通訊：超大頻寬上網：巨量連結通訊：超可靠/低延遲通訊; 物聯網 ; 網路功能虛擬化：超高密度網路系統
PG10602-0384	影像信號處理器陣列：電子系統層級：三維積體電路：導通孔：堆疊組裝技術：異質晶片堆疊模組組裝技術：矽中介層
PG10602-0127	國內航線：運價：票價：成本：會計
PG10602-0129	臨床試驗：藥品臨床試驗：受試者保護：教育訓練：教育推廣
PG10606-0048	智慧財產權：知識管理：專利
PG10706-0363	受僱者：雇主及自營作業者：安全衛生狀況
PG10812-0245	空壓系統：環保議題：環境與能源管理系統：水足跡盤查申報平台
PG10603-0405	彩繪材料：檢測
PG10603-0415	集合住宅：室內自然通風：戶外環境風場：風洞試驗：taivent模式
PG10603-0428	放射性廢棄物：管制技術：國際動態
PG10511-0019	手部衛生：長期照護機構：感染管制
PG10605-0251	初級照護：分類模式：診療型態
PG10602-0180	南沖繩海槽：熱液換質：礦化作用：海床攝影觀測：電子顯微鏡
PG10602-0163	思覺失調症：復元概念：復元階段
PG10602-0164	問題性飲酒：酒癮門診：治療留置率
PG10602-0166	精神復健機構：體適能：身體組成
PG10602-0181	傳統：表演藝術：戲金：文化循環：戲曲：音樂：慶典：消費參與
PG10602-0168	保送大學制度：離島地區：地區發展
PG10602-0167	社區思覺失調症：服藥動機：信守服藥：橫斷式研究：實證模式：相關研究
PG10602-0187	產業群落：產業聚落：臺三線客家文化產業：文化產業生態體系：共生：寄生：競爭
PG10606-0059	模組化産程開發：重組次單位疫苗
PG10602-0352	膜/卷曲-螺旋結構族群-3：多重抗藥性：克雷白氏肺炎桿菌：可誘導共刺激分子
PG10603-0032	參與式跨界創新：科技應用：技術測試驗證：感知體驗
PG10605-0078	地下水流：污染傳輸：互動地圖平台：開放資料：模擬：空間資料分析
PD10605-0003	生物炭：穩定同位素：水循環：碳足跡：光譜分析
PG10512-0003	企業社會責任：經濟：環境：社會
PG10602-0281	情境感知：常閉運算：電子系統層級：關鍵字關聯模型：可摺疊式顯示器：軟性主動矩陣式有機發光二極體顯示器：摺疊式觸控顯示器：卷對卷
PG10509-0114	高通量：環境荷爾蒙：體外試驗(in-vitro)：毒性監測
PG10603-0109	即食餐食產品：質地設計：少添加
PG10601-0643	代謝適量分析平台：長效技術：免疫治療：免疫檢查點：抗體藥物複合體：體內放射治療藥物
PG10602-0259	機能性：合成纖維：色母粒：彈壓運動服：傳導性紡織品：環境互動紡織品：直紡型不織布：雙組份熔噴不織布
PG10701-0523	氧化壓力：痛覺敏感度：靈芝
PG10605-0003	投資：貨幣政策：國家經濟成長
PM10606-0083	溫室氣體：自願減量：減碳路徑圖：氣候調適
PG10509-0115	底泥整治：二仁溪：模場試驗：相反轉法：底泥加蓋
PG10512-0174	玉山國家公園：開花結實物候：玉山杜鵑：玉山櫻草：全球氣候變遷：高山生態系
PM10606-0102	光電：半導體：零組件：設備產業
PG10606-0074	普及服務：寬頻普及服務：普及服務基金：偏鄉地區：連網速率
PG10606-0113	多孔膜：隔離膜：氧電漿：表面改質：釩液流電池
PG10606-0082	精神疾病：單核苷酸多態性：聚合酶鏈鎖反應：漢氏憂鬱量表
PG10606-0005	地震危害度分析：地動預測方程式：機率式地震風險評估法：海嘯數值模式：海底山崩引發海嘯數值模式：剛體－水體雙向耦合模式：操作基準地震：安全停機地震
PG10606-0011	垂直交易限制：競爭法：市場封鎖
PG10606-0018	精準醫療：次世代分子測序技術：實驗室開發檢測技術
PG10608-0027	傳統醫學戰略：韓醫藥育成法：中國中醫藥法：中醫藥
PG10602-0194	諾羅病毒：聚合酶鏈鎖反應：巢式聚合酶鏈鎖反應：食品中毒：急性腸胃炎
PM10606-0101	產業政策：非農產品市場進入：資訊科技協定：世界貿易組織：關稅資料庫
PM10606-0089	寬頻網通：第四代無線通訊技術：長期演進技術：軟體定義的網路：光纖到戶
PM10606-0054	臨時登記工廠：特定地區產業：農業工業化：觀光工廠：休閒旅遊
PG10512-0176	愛滋病：愛滋病防治中心：靜脈毒癮者：暴露愛滋病毒前口服預防性投藥：減害：愛滋病毒體液暴露者預防性用藥：台灣地區愛滋病研究群：高效抗反轉錄病毒療法
PG10602-0232	高效率馬達：動力機械：聯盟
PG10602-0171	客家產業：文化地景：地方產業：產業鏈
PM10606-0076	資訊產業：數位電子看板：人工智慧
PG10602-0209	即食食品：生鮮蔬果：即食肉品：冰品：衛生安全：食品中毒：病原菌
PM10606-0094	汽機車產業：機車產業：自行車產業：汽車產業
PG10802-0292	補助：行動通訊：基地臺：電力備援：共構共站
PG10512-0180	抗生素：抗生素抗藥性自動通報系統
PM10606-0073	職能基準：能力鑑定：培訓創新：訓考用合一
PM10606-0090	策略規劃：資源分配：計畫審議：執行管理：績效評估
PM10606-0075	4g創新服務：軟體創新創業園區：著作權流通：內容影音整合平台
PG10603-0001	高性能休閒鞋品：彈性體：鞋面自動化製程材料：熱塑性聚胺基甲酸酯
PG10601-0506	臨床試驗管理系統：電子化臨床試驗法規
PG10604-0152	大數據：公共運輸
PG10512-0197	食品安全：後市場監測：風險管理：資料庫整合：藥名混淆
PM10606-0022	食品防護：食品防禦：食品攙偽：食品詐欺
PM10606-0049	幸福點心：特色食材：產業聚落
PM10606-0078	智慧消費性電子、消費性電子、智慧電視：加值服務：數位電視：機上盒：有線電視
PM10606-0106	印刷技術輔導：印刷市場拓展：印刷產業：印刷人才培訓
PM10606-0023	國際競賽：資訊安全：駭客
PM10606-0050	系統整合：解決方案：整廠整案輸出：外銷出口：產業轉型
PG10606-0056	十二年國民基本教育：藝術領域教材：核心素養：教學模組
PM10606-0100	節能減碳：減量方法：抵換專案：減量技術
PG10602-0400	發光二極體光源：led智慧照明：可見光定位與傳輸：智慧感測：智慧控制：led光模組：室溫熱像：雷射光斑
PG10603-0011	復原力：社區精神疾患：住院精神疾患
PG10601-0013	系統性紅斑狼瘡：缺氧：混合淋巴細胞反應：間質幹細胞：免疫抑制作用
PG10601-0015	一、二體滑體彈簧模型：黏性效應：相互作用：遷移：混沌
PG10512-0191	疾病負擔估計：失能調整人年：健康平均餘命
PG10602-0350	產業標準：國際標準：區域組織：亞洲太平洋經濟合作組織：技術和創新政策夥伴會議：5+n產業創新
PG10602-0131	詔安客家：平面配置：地理環境：福建詔安：臺灣雲林
PG10602-0136	體外診斷醫療器材：實驗室研發檢測：分子診斷：臨床實驗室管理：法規：上市前審查：臨床評估
PG10601-0507	桿上變壓器：密封型：一、二次套管
PC10601-0992	動脈氫質子標記：灌流：血管狹塞疾病：灌流域：缺血性中風：磁振造影：腦血流
PF10601-0230	媽祖：民間信仰：進香：後祭祀圈：地理資料系統：社會網絡
PB10601-1248	六相電動機：六相變頻器：同步磁阻電動機：永磁式同步電動機：高效率
PB10601-1375	二維材料：過渡金屬二硫族化物：異質結構
PC10601-0088	結腸-尿道器交互作用：雌激素：n 甲醇d 天冬氨酸感受器官2b 次單位：千手蛋白：芥子油
PG10602-0138	慢性呼吸病房：長期使用呼吸器：經喉插管：氣切
PG10602-0294	穿戴式裝置：智慧型紡織品：穿戴式輔具：智慧健康照護：technology enabled care：行動健康照護：健康老化：智慧服飾
PA10507-0901	大氣化學：同位素：生物地球化學循環：溫室氣體(co2和n2o)
PG10607-0116	光照療法：發光二極體：失智症：睡眠障礙
PG10601-0606	鬆疏鬆：造骨細胞：蝕骨細胞：補腎中藥：清熱中藥
PG10512-0160	人類乳突病毒：人類免疫不全病毒：細胞學：肛門癌
PG10609-0029	1895：臺灣民主國：丘逢甲：乙未戰爭：北白川宮能久親王
PG10512-0158	採購平台：關鍵物料管理：材料溯源管理
PG10601-0438	受試者招募：受試者保護：臨床試驗
PG10601-0439	正子放射同位素：調製作業：查核：教育訓練：法規研析
PG10606-0096	員額管理：緊縮管理：地方政府
PG10602-0199	能源效率：節能標章：最低容許耗用能源基準：能源效率分級標示
PG10602-0208	核章作業：耗能標準：耗能總量管制
PG10607-0011	過多利用：過少利用：不適當醫療
PG10601-0535	創新前瞻研究：食品科技：生物資源
PG10607-0142	貨物稅：菸酒稅：稅式支出
PG10607-0171	敗血症：胰島素：計畫性細胞死亡：免疫調控
PG10606-0013	物聯網：專用電信：公共安全及防災：智慧型電表基礎建設：第五代行動通訊技術
PG10512-0110	尼古丁：microrna：膀胱癌
PG10606-0035	海運同盟：策略聯盟：競爭法：公平交易法
PG10512-0083	慈湖：陵水湖：瓊林水庫：蘭湖水庫：擎天水庫：濕地：水質
PW10604-0005	漂流浮標：災害性天氣系統：河川表面流速觀測
PG10610-0069	氧化鋯：比色
PG10512-0098	健康危害行為：國人吸菸行為：電話訪問調查
PG10601-0437	無人載具：輸電線路礙子：無人飛機應用
PG10610-0067	長期照護：智慧長照：創新應用：物聯網：穿戴式裝置：智慧健康照護
PG10602-0391	口腔癌前病變：危險因子：分子標靶：快速診斷：早期治療
PG10605-0156	大數據分析：保護服務：大數據團隊
PG10602-0254	影視產製：協拍機制：人才供需：產學落差：票房市場：ott
PG10602-0188	節能減碳：節能政策行銷：節能知識服務：節能標竿推廣
PG10602-0183	城鄉發展：區域發展：鄉村治理：由下而上
PG10602-0198	創業：創業生態：創業政策：科技創業：智庫服務
PG10602-0050	藥品政策管理制度：藥品優良運銷規範：藥事法：國際藥品稽查協約組織
PG10605-0007	室溫製程：薄膜
PG10605-0014	用過核燃料：放射性廢物：區域合作
PB10501-2662	生產排程：最大完工時間：代理商問題：維修工作：平行機台：流程工廠
PG10605-0015	電子治理：公共價值：網路輿情：調查方法：巨量資料：前瞻研究
PG10611-0049	臺港澳：青年：主題式交流
PG10611-0048	人大釋法：香港司法
PG10605-0110	外銷食品(添加物)英文衛生證明：加工衛生證明：檢驗報告：外銷食品證明線上申報系統：順丁烯二酸酐
PG10605-0122	覆銲：異質銲接件：緩衝層：508低合金鋼：316l不銹鋼：鎳基52m合金
PG10608-0076	營造業：感電：職場
PG10512-0139	教育公平：弱勢學生：大學入學優惠政策
PG10602-0261	智慧聯網：複雜事件處理：智慧電網：微電網：需量反應：智慧綠建築
PG10512-0097	財務衝擊分析：醫療科技評估：新藥納入健保給付
PG10603-0050	中台灣創新園區：營運管理：新世代智慧設備：先進溫室系統：服務科技與感性設計技術：創新研發資通訊平台
PG10603-0119	離岸風能：海事工程：運轉與維修
PG10603-0161	軍人公墓：安葬：服務滿意
PG10603-0082	太陽能：地熱：儲能
PG10612-0189	專科護理師訓練醫院：專科護理師訓練品質
PG10605-0124	二氧化碳：醋酸：代謝工程
PG10601-0251	人工生殖：試管嬰兒：甲基化
PG10601-0255	瀰漫性大型b細胞淋巴瘤：變形運動：stat3：微小管
PG10605-0222	微型封裝：發光二極體：異質整合
PG10605-0171	人因工學：步態：模擬分析：3d列印：鞋底製程
PG10605-0210	電動輔助自行車：控制器：電子組件：功能測試：耐候測試：模型基礎的產品發展及製造：狀態基礎的閉迴路控制器：電動輔助自行車性能
PG10606-0019	時間電價：尖離峰價差：電價影響模擬模型：成本效益分析：用戶行為
PG10604-0043	自然語言處理：手機：客語拼音輸入法：客語語料庫與詞典：語言模型
PG10603-0203	糞便潛血：糞便免疫分析
PG10603-0234	績效：護理人力：健保資料：麥氏生產力指數
PG10603-0176	高仟瓦：光纖雷射源：雷射合束器
PG10604-0060	科技法制發展：科技法制政策：科技法制幕僚：科技法制環境：科技法制研究：科技產業發展法制策略
PG10601-0221	水下噪音：結構振動：流體噪音：電力驅動：船舶微電網：主動式前端：硬體迴路模擬：複合動力驅動
PG10509-0116	污染整治：區域排水滯洪：土地活化再利用：閒置公有(營)土地：模糊德爾菲法：anp
PG10605-0168	電力設備：風險評估：大數據：資產管理
PG10605-0017	流體化床：氣化爐：數值模擬
PG10605-0010	老人：飲食指引：食物質地標準：咀嚼：介護食品
PG10609-0017	物流服務：供應鏈管理：自由貿易港區：多國配銷：境內關外：多式聯運：發貨中心：轉口轉運
PG10605-0144	機器人：工具機：溝通介面：產業標準
PG10605-0041	中藥：法規：新南向：東協
PG10602-0279	銅銦鎵硒：硒化：化學鍍膜：能隙：電極
PG10605-0043	公寓大廈：外牆瓷磚
PG10604-0068	咬口：軟功：特技道具
PG10601-0071	肺癌：補骨脂：細胞週期：stat3：補骨脂甲素甲醚
PG10601-0009	倒地蜈蚣：藥理：糖尿病：胰島素分泌：昇糖激素類胜肽-1受體
PG10512-0107	潛伏結核感染：預防投藥：主動個案發現：愛滋病：洗腎：腎臟移植：風險評分系統
PG10512-0108	發展遲緩：以家庭為中心：復健：早期療育：發展成效：功能成效：家庭成效：兒童
PG10512-0121	結核病：潛伏結核感染：老人：長照機構
PG10601-0405	食物媒介性病原：畜牧場：監測：流行病學
PG10601-0385	癲癇：腦部發育：幹細胞：基因體：次世代定序
PG10601-0066	腫瘤抑制基因：微型核醣核酸：腎癌細胞：腎損傷
PG10601-0043	績效管理：績效評估：計畫績效：策略規劃
PG10602-0401	除役：室內乾貯：管制技術
PG10601-0247	經濟效益衡量：效益模型：創新科技領域：創新體系：智慧健康：機器人
PG10601-0223	經濟部：技術處：學界科專：一般型：在地型：產學研價值創造計畫
PG10603-0239	萬里水力發電：崩塌地：土石流：地質
PG10603-0498	斷層地震模擬：震源模型：錯動量分布
PG10601-0627	氣候變遷：多重抗藥性微生物：抗生素抗藥性：抗生素管理：感染管制：抗甲氧苯青黴素金黃色葡萄球菌(mrsa)、抗碳青黴烯包氏不動桿菌(crab)：抗萬古黴素腸球菌(vre)、困難梭狀桿菌(cd)
PG10602-0382	東部產業：創新技術：技術輔導：東部產業技術服務中心：產業聚落
PG10602-0257	食品安全：用藥安全：網路謠言
PG10603-0074	電動車：馬達：電能系統：附件系統：輕量化：動力鋰電池
PG10601-0336	生物回饋：施力協調：精細抓握：任務導向方法：手指按壓
PG10601-0342	基因表現圖譜：藥物相似度
PG10603-0052	乳癌：大腸直腸癌：前列腺癌：腦癌
PG10603-0057	瀰濃：神明會：伯公：聚落：客家
PG10603-0056	青光眼：抗氧化物：凝膠：藥物傳輸系統
PG10601-0218	泛素化修飾作用：第一類干擾素：胞飲體中的tlrs：漿細胞樣樹突細胞
PG10603-0250	亞太生技醫藥研發中心：新南向政策：精準醫療：大數據：藥政法規：查驗登記：物聯網
PG10601-0408	肺癌：癌症免疫治療：表觀遺傳治療
PG10601-0170	日本：國際協和：法規
PG10601-0500	熱帶季內震盪：dynamo實驗：cwbgfs模式：rmm指數
PG10603-0086	蓄熱式：廢熱：燃燒系統：分離式：量測與驗證
PG10603-0097	畜禽蛋奶製品：即食米類：即食食品：病原性微生物
PG10603-0093	魚類：甲殼類：臺灣特有種：溪流魚類生態：生態資源調查
PG10603-0106	有機朗肯循環：螺桿膨脹機：渦輪機
PG10603-0102	熱化學液化：濕式生質廢棄物：水熱液化油
PG10601-0580	擴散張量磁振造影：神經追蹤術：圖型理論分析：人腦神經網路體：人類大腦功能
PG10601-0576	腸道微生物：發炎性腸炎：多源基因體學
PG10601-0093	結核病：循環非細胞的游離dna：血漿
PG10602-0339	系統體系：科技化服務
PE10601-0178	旅行書寫：自然史書寫：科學敘述：環境感知：十九世紀福爾摩沙自然生態探險紀行
PB10602-0136	防救災情資：災害管理：彰化縣：資料共享
PF10602-0073	科學傳播：社群媒體：原子能安全與輻射防護：政策行銷
PB10602-0120	黃金廊道：防減災能力
PG10603-0101	產業趨勢：技術前瞻：知識服務
PG10603-0127	行政院科技會報：5+2產業創新方案：科技人才：產學研連結創新生態系統：產業科技
PG10603-0120	芝麻素：芝麻酚：骨母細胞：骨質疏鬆症
PG10603-0369	語言接觸：卓蘭腔：客語次方言：雙方言
PG10601-0602	中藥製劑：細胞色素p450
PG10601-0220	食品藥物安全：危機管理：風險管理：資訊監測預警：公共政策
PG10605-0128	數位匯流：物聯網：資通安全
PG10607-0141	型態傷：物質濫用：交通事故
PG10604-0073	考古：骨頭：加固劑/結合劑：可逆性
PG10602-0348	生產力4.0：工業4.0：能源管理
PG10602-0344	馬來西亞：客家：錫礦：新村
PG10601-0330	跨領域：科技管理：智財運用
PG10603-0157	行動裝置：色彩校正：雲端平台：印刷媒材：色彩模擬：資料庫建置
PG10603-0151	食品詐欺：食品攙偽：資料庫
PG10603-0156	微藻：生質柴油：固碳
PG10603-0155	健康科技評估：成本分析：衛生政策
PG10603-0417	管制性病原：生物安全：生物保全
PG10601-0539	卡波西氏肉瘤皰疹病毒：基因體簇聚
PG10601-0533	國語文：語文教育政策：多元文化：閱讀素養
PG10601-0458	死因統計：死亡率統計自動化：衛生資訊系統：健康指標國際比較
PG10601-0460	三氯乙烯：γ-pga：現地生物復育：次世代定序：綠色整治
PG10601-0469	宏基因組學：生物復育：生物刺激：生物強化
PG10602-0078	節能減碳策略研析：能源查核：節能規定：節能輔導與推廣
PG10603-0111	臺灣中藥典第二版增補版：檢驗規格：諮詢：工作會議
PG10602-0205	衛生保健：面訪調查：實證資料：抽查：品質管控
PG10603-0162	刺激響應材料：智慧材料：自我修復：熱解黏材料：uv解黏材料
PG10605-0004	川普新政：經濟結構轉型：中國大陸
PG10605-0062	電業分離會計：輸配電業會計制度：電業管制規範：公用電業會計制度：轉撥計價：分離會計成本池庫：分攤動因
PG10601-0348	微流道：金奈米液滴：光熱治療
PG10601-0339	渦輪動葉：冷卻
PG10601-0135	產氣單胞菌屬：beta-內醯胺酶：多重抗藥性：rnd (resistance nodulation cell division)外排幫浦
PG10601-0232	全民健康保險：醫療器材：特材：給付：核價
PG10601-0163	新生兒黃疸：膽汁滯留症：膽道閉鎖：嬰兒大便辨識卡：直接及總膽紅素比值
PG10601-0261	八面體球面投影：多域擬譜補償法：傳輸方程式：淺水波方程
PG10601-0450	糖尿病：身體活動：老年症候群
PB10602-0224	壓力殼：管路系統：疲勞壽命
PB10602-0235	鎳磷：雙微粒：複合鍍層：磨潤：滑軌
PF10602-0049	產學合作：原創知識：價值創造：科技政策：政策發展
PC10602-0021	學門業務推動：學門業務規劃
PB10602-0193	光纖感測器：光纖光柵：腐蝕監測
PC10602-0004	二甲基乙酸噻亭：抗菌活性：白色念珠菌
