PG10605-0085	嗅覺：嗅覺皮質：梨狀皮質：前額皮質：杏仁核皮質：神經元路徑追蹤：輸出神經元圖譜
PG10412-0097	胃癌：慢性發炎：淋巴轉移：腫瘤壞死因子α (tnf-α)
PG10411-0059	揮發性有機物：現場篩測工具：攜帶型質譜儀
PG10508-0048	登革病毒：登革出血熱：雷公藤紅素
PG10411-0065	環境因子：微量金屬：新興污染物：底泥：同步輻射：x 光吸收光譜
PG10508-0026	核子事故劑量評估系統：天氣類型法的氣象資料庫
PG10508-0034	基因改造：政策分析：食品安全：風險溝通：管理規範：消費者調查
PG10412-0122	食媒性病原體：疾病群聚：早期預警：疾病監測：發生率
PG10501-0604	微流體：細胞培養：癌症轉移
PG10508-0056	生涯輔導：轉銜：後期中等教育
PG10508-0057	十二年國教、：適性入學：免試入學：特色招生
PG10408-0061	虛實整合智慧商務：智慧商區：社群商務：知識產業：雲端知識管理平台
PG10503-0120	存活：生活品質：口腔癌：乳癌：大腸癌：上尿路上皮癌
PG10411-0079	光催化：光纖：三氯乙烯：現地整治：反應牆
PG10501-0379	小型企業：創新：研發
PG10412-0161	暴露前預防性投藥：愛滋病毒感染：血清正負相異伴侶：關鍵族群
PG10506-0011	工程產業：策略聯盟：全球化：拓點計畫：人才培訓：工程產業全球化平台資訊網
PB10506-0131	蝴蝶蘭：植物工廠：產銷平衡：工作研究：模擬最佳化
PG10506-0101	保險憑證：電子支付
PG10412-0198	生物風險：生物安全：認證：實驗室生物風險管理
PG10408-0083	動態特性：機電整合：低溫切削：低熱傳導性材料：熱補償：機構鏈
PG10411-0043	醇類：揮發：柴油：空氣注入法
PG10408-0085	電容去離子技術：地下水整治
PG10408-0068	太陽能：薄膜材料：稀土螢光粉：分離：再生：液/液萃取
PG10503-0112	混合車流：交通安全：交通工程
PG10503-0116	病毒：登革熱：日本腦炎：屈公病
PG10501-0556	代謝適量分析平台：長效技術：自體免疫疾病：發炎性腸道疾病：抗體藥物複合體：體內放射治療藥物
PG10505-0151	病患安全：漢生病：跌倒：危險因子：預防策略
PG10411-0088	底泥整治：二仁溪：模場試驗：相反轉法：底泥加蓋
PG10502-0009	體驗經濟：體驗設計：科技應用：數位策展
PG10501-0391	脂肪幹細胞：生物薄片
PG10501-0394	衛生保健：面訪調查：實證資料：抽查：品質管控
PG10501-0023	新藥：納入健保給付時程：健保給付範圍
PG10411-0086	植物：復育：整治：土壤
PG10411-0085	植生復育：皂素：土壤淋洗：植物整治
PG10411-0051	植生復育：鎘污染：有效微生物：植物生長激素
PG10412-0113	手術部位感染：組合式照護
PG10506-0039	天然災害：風險管理：風險移轉
PG10506-0018	再生能源管理：智慧電網：智慧變流器
PG10501-0606	智慧聯網：複雜事件處理：智慧電網：微電網：需量反應：智慧綠建築
PG10408-0077	精微製造：系統整合：智慧化：先進製造：客製化：複合製程
PG10501-0074	生技新藥國家型計畫：臨床試驗聯盟：醫師自行發起研究：aro (academic research organization)&smo
PG10501-0126	創新政策：競爭力：科技創新
PG10412-0007	土壤及地下水污染：巨量資料：優先補助區域：污染整治
PG10412-0121	環境清潔：終期消毒：螢光標示：atp冷光反應檢測法
PG10501-0786	交直流轉換器：高頻隔離變壓器：熱電：數位脈波調變器：功率元件系統封裝：元件內藏：寬能隙：智慧型功率模組
PG10501-0580	中台灣創新園區：營運管理：新世代智慧設備：先進溫室系統：服務科技與感性設計技術：創新研發資通訊平台
PG10408-0093	照明產業：有機照明：試量產
PG10501-0710	動靜脈廔管：流速：血液迴路
PG10501-0279	丹參：缺血型中風：cdk5：gsk3：神經再生
PG10504-0161	失智症：雌激素：阿茲海默症：類澱粉樣蛋白：大豆異黃酮
PG10501-0505	先進讀表基礎建設：智慧電網：開放資料
PG10501-0082	第一等級醫療器材：醫療器材查驗登記：醫療器材安全與有效性評估：醫療器材標準
PG10412-0237	電力變壓器：箱體破裂原因：防範對策
PG10501-0085	分子診斷試劑：法規：上市前審查
PG10507-0081	紅血球生成素：急性腎損傷
PG10501-0092	太陽能熱水系統：推廣服務：太陽熱能利用
PG10412-0164	肺癌：表皮生長因子接受器：上皮-間葉轉化：蜂膠素
PG10412-0136	高血糖：神經退化
PG10503-0343	智慧服務平台：物聯網：遊憩服務：行動智能服務：太魯閣國家公園
PG10412-0127	細胞骨幹：癌症：上皮間質轉化調控因子
PG10412-0223	山雀：巢箱：棕面鶯：繁殖生物學：觀霧
PG10501-0174	總統創新獎：國家產業創新獎：經濟部產業創新成果頒獎典禮：推動產業創新
PG10501-0093	爬梯機：老舊住宅：檢測：人口老化：租借
PG10412-0218	穩定型奈米釋氧顆粒：柴油污染：生物復育
PG10412-0224	慢性阻塞性肺病：結核病：呼吸道擴張劑：肺功能：生物指標
PG10501-0745	智慧照明, 軟性顯示器：開放源碼：材料試量產與驗證：藥物gmp試製中心：精密機械：虛實整合系統：快速試製：三維積體電路
PG10412-0225	adhd：單次運動：注意力
PG10412-0226	碳酸鈣：療效相等
PG10412-0209	結核病防治：潛伏：藥物研發：治療：檢驗：性別
PG10501-0161	詔安客：傳統建築
PG10501-0355	次世代定序：粒線體：法醫dna鑑識
PG10501-0158	客家產業生態系統：情境規劃：利基者：物競天擇的認知：文化基因化的調整：未來演變與適當操作
PG10501-0780	駕駛與車輛互動系統：系統協商機制：雷射頭燈：無線充電系統
PW10502-0078	淹水潛勢圖：災害預防及防護：sobek
PW10502-0077	淹水潛勢圖：sobek：淹水潛勢圖製作手冊
PG10503-0044	商業服務：跨業聚合：生態系
PG10502-0255	轉診制度：重大傷病患：離島居民
PG10504-0127	公務人員：管理核心能力：評鑑量表：訓練發展
PG10504-0128	樹脂：芬頓：氧化：分解
PG10501-0003	先進大眾運輸系統：大數據：資料探勘
PW10504-0011	貯留：低衝擊開發：數值模式
PG10501-0014	殘留標準：毒理試驗：風險評估
PG10501-0048	殘留農藥檢驗：聯合分工體系
PG10505-0052	職能治療：思覺失調症：介入模式：評估：臨床指引
PW10504-0010	排水計畫書：允許排放量：減洪設施
PW10504-0012	微囊藻毒：柱孢藻毒：酵素連結免疫吸附分析方法：即時定量聚合酵素鏈鎖反應
PA10507-0484	脂蛋白粒子尺寸：膽固醇：心血管疾病風險：晶片電泳：毛細管電層法：電化學分析
PF10507-1801	人力資源價值主張：人力資源加值服務：心理契約：人力資源效能：管理團隊投入
PB10507-2165	離散滑動模式控制：擾動：rsa密碼系統：嵌入式系統：隱藏式公鑰
PF10507-0903	正念：渴求自尊：心理適應：寧靜自我
PF10507-1752	幾何：推理：圖板遊戲：數學態度
PB10507-3146	土地遠距連接：都市空間結構：臺北都會區：空間互動模型：多層空間模型：都市永續性
PC10507-0851	淚腺：幹/先驅細胞：三維結構形成：幾丁聚醣：生物材料：組織工程：細胞治療
PC10507-0114	膽鹼酶抑制劑：失智症：心血管疾病：藥物流行病學：台灣
PF10507-2074	思覺失調：身體活動：健康促進：健身手環：行動健康照護
PB10507-2779	溫室效應：太陽光熱分離器：熱致變色裝置：電池管理系統：太陽能全波段：空氣膠：熱電偶
PB10507-0844	綠色環境：國際財務報導準則(ifrs)：多準則決策(mcdm)：決策試驗與實驗評估法(dematel)：分析層級程序法(ahp)：分析網絡程序法(anp)：0-1目標規劃(zogp)：模糊德菲法：數學規劃：作業成本制(abc)
PB10507-0443	可調式振動吸振器：壓電換能器：能量擷取器：半主動式振動控制
PC10507-1266	嗜中性白血球彈性蛋白酶抑制劑：sirtinol：急性肺損傷：土茯茶：地膚子
PB10507-0583	乳癌：放射治療：放射性肺炎：正常組織併發症機率：二次癌症
PF10507-1350	民法物權編修正：實踐法學：落差：預防紛爭：成本效益分析
PF10507-1511	鑲嵌關係：依附關係：權力依賴：共同創造：信任
PF10507-0560	資訊素養課程：探究式學習：國中階段：長期研究：追蹤調查
PF10507-1781	剖腹產後自然產：影響因素：醫師觀點：問卷調查
PG10501-0061	流感：雪貂：抗血清
PG10501-0020	上市前查驗登記：上市後變更：法規諮詢
PG10501-0012	生物復育
PG10501-0137	全國藥物不良反應通報系統：上市後藥品安全監視：藥品定期安全性報告：可疑未預期之嚴重不良反應：藥品風險管理計畫：藥品優良安全監視規範
PG10501-0804	核設施清理：放射性廢棄物減量：trr燃料池：熱室實驗室：放射性污染金屬除污
PG10412-0197	丙型干擾素釋放試驗：潛伏結核感染：預防性治療：結核病：結核菌素皮膚試驗
PG10501-0731	穿戴式裝置：智慧型紡織品：穿戴式輔具：智慧健康照護：行動健康照護
PG10501-0111	類鴉片藥品：成癮性麻醉藥品：指引：注意事項：疼痛
PG10501-0114	愷他命：網路通報：網路監測：物質濫用
PG10501-0120	管制藥品製藥工廠：麻醉藥品製造廠：管理規範：電子監管流向系統
PG10501-0119	食品安全：後市場監測：風險管理：資料庫整合：德菲法
PG10501-0207	新生兒黃疸：膽汁滯留症：膽道閉鎖：嬰兒大便辨識卡：直接及總膽紅素比值
PG10501-0707	醫療器材：臨床醫學：產學觀摩
PG10501-0554	銅銦鎵硒：硒化：化學鍍膜：能隙：電極
PG10501-0488	服務業：國際化：營運模式：地理資訊系統：服務設計：開放式創新
PG10501-0268	卵巢癌：幹細胞：表基因
PG10501-0258	外省客家：族群認同：族群關係：外省第二代：社會網絡
PG10501-0277	科學展覽：追蹤調查：科學學習
PG10501-0259	壓力：復原力：去磷酸酶
PG10501-0168	暴露試驗：金屬材料：大氣腐蝕：環境分類
PG10501-0176	探勘開發石油及天然氣：石油開發技術研發：計畫管理
PG10501-0335	客家童謠：童謠教學：音樂律動：鄉土教育
PG10501-0187	成癮性非法物質使用：流行病學：毒品危害防制中心：地理資訊系統
PG10501-0190	客家：風水學：文化觀光：龍文化：遊程規劃
PG10505-0175	節能減碳：溫室氣體：產品碳足跡：能源管理系統
PB10507-0865	微型電網：智慧電網：併網型變頻器：多階轉換器：三階中點箝位變流器：複合式電源轉換系統：磷酸鋰鐵電池：併網型儲能發電系統：雙向電力流向控制：混合信號fpga控制
PE10507-0159	文學史：外地文學史：台灣文學史：台灣文學
PE10507-0226	人工情緒：非玩家角色：遊戲設計
PB10507-2523	聚乳酸：尼龍11：奈米二氧化矽：透光性
PA10507-0491	氣膠：假期效應：氣膠輻射效應：區域過程
PA10507-0716	颱風：展期系集預報：颱洪防災：水資源管理
PB10507-0954	鋼碴：游離氧化鈣：游離氧化鎂：膨脹：混凝土
PB10507-1897	甲醇重組：漸擴燃料流道：產氫性能：輸出淨功率：混合對流
PA10507-1320	海洋性褐藻：馬尾藻科：多樣性：褐藻膠：氣候變遷：台灣：海藻生態：生活史
PF10507-1433	宗教信仰：賠款準備：盈餘管理：風險管理：避險
PF10507-0310	公共服務動機：行政管理教育：職業偏好：貫時性研究
PB10507-0129	生物質：純氧/富氧燃燒：熱重分析：單顆燃料自由燃燒爐：鼓泡流化床燃燒器
PF10507-0974	心理物理學：信心強度：閾值估計：適測方法
PA10507-1312	蕭基能障：金屬-半導體介面：(in)gaas：同步輻射光電子能譜
PB10507-0340	直接接觸薄膜蒸餾：超音波：蒸餾產出效率：紊流流道：疏/親水性複合薄膜
PE10507-0271	綠色生命週期設計：關聯強度：模組化：拆裝規劃：群組基因演算法
PB10507-0683	相位鎖定：質點影像測速法：空化影像拍攝：旋轉螺槳：紊流場
PG10501-0066	產學合作：質子放射治療：生活品質：成本效益：臨床試驗協調運籌中心：分子診斷：分子影像
PG10501-0062	臨床試驗：藥品臨床試驗：受試者保護：教育訓練：教育宣導
PB10507-1513	多孔材料：熱傳導：孔隙度：抗壓強度：微觀：孔洞生成介質：物理及機械性質：多孔結構陶瓷
PA10507-0120	電喷灑游離質譜：高質量範圍擴充：巨分子：結構特性分析：蛋白質藥：金奈米糰簇
PF10507-0231	加速規：中等至費力運動身體活動量：中學生：體育課品質
PF10507-1887	複合商模：虛實整合：組織變革：經營綜效：資源交換
PA10507-0074	軸向零場分裂參數：有效活化能：單離子磁性：交流感磁性
PC10507-1252	第一型瞬態離子接受器：電針：足三里：長期慢性疼痛
PF10507-1916	歐亞合作：亞歐會議：歐亞經濟聯盟：一帶一路：歐亞倡議
PB10507-2820	匿蹤雷達罩：頻率選擇表面：電路模擬吸波結構：反射損耗
PA10507-1510	垂直堆疊二維異質材料結構：過渡金屬硫族化合物：奈米電子元件：柔性電子元件：電荷傳輸行為：低頻雜訊量測：霍爾效應量測
PB10507-2850	4g lte系統：5g系統：無線傳接機：相容/共構架構：毫米波
PG10501-0586	特殊營養食品：審查標準作業流程
PG10501-0620	影像導引系統：影像定位技術：藥物釋放載具：全域光學同調斷層掃瞄儀：微光學血管造影術：皮膚光學同調斷層掃瞄
PG10502-0239	國家標準：游離輻射：原級標準：校正：能力試驗
PG10501-0198	藥品優良製造規範：無菌藥品：醫用氣體：無菌製劑查核訓練
PG10501-0429	諾羅病毒：聚合酶鏈鎖反應：巢式聚合酶鏈鎖反應：食品中毒：急性腸胃炎
PG10501-0218	寬心飲：化療：合併治療
PG10501-0220	馬來西亞：客家話：客英大辭典：特徵詞：語音變化
PG10501-0224	護理人員：護理資訊系統：成效評估：科技接受模式
PG10501-0295	鴉片類藥品：優良疼痛照護：管制藥品濫用：藥品流用：防止濫用劑型：社會負擔：醫療照護支出
PG10501-0275	脊髓損傷：呼吸功能：細胞移植
PG10501-0610	乳房攝影儀：電腦斷層掃描儀：透視攝影儀：輻射醫療曝露：品質保證
PG10501-0159	新興醫材：光動力：電燒：光學取模：指引
PG10501-0729	玻片掃描：全景深融合：子宮頸細胞影像分析：類神經網絡：微波影像：陣列天線：影像重建：微波假體
PG10510-0050	骨取代物：牙科：骨科：市場拓銷
PG10511-0002	飛針：電波：高頻電波
PG10511-0016	所得稅：加值稅：電子支付：促進個人消費
PW10502-0081	光達數值高程模型：淹水模式：粗糙度係數地圖：入滲地圖：雷達降雨：四分樹：子網格
PW10502-0080	淹水潛勢：sobek模式：情境模擬
PG10501-0289	臨終照顧：臨終照顧喜好：隨機控制實驗：末期癌症病人
PG10501-0773	再生能源發展條例：再生能源發展基金：再生能源電能躉購費率：再生能源發展策略
PG10501-0292	兒童健康：健康開始：出生世代：生命歷程：社會環境：非本國出生配偶
PG10501-0481	脂肪組織硬化：賴氨酰酶：發炎：肥胖
PF10507-2065	共病指標：院內死亡：醫療費用：全民健康保險研究資料庫
PC10507-0681	壞死性凋亡：受體結合蛋白1：受體結合蛋白3：周期性展延：容積過度負荷：血管平滑肌細胞
PA10507-0505	多數閘：加三碼之合成數篩選器：dna探針：microrna探針：智慧型藥物釋放系統：電子鎖
PC10507-0108	脂肪肝：肝臟再生：粒線體：粒線體治療：抗氧化
PC10507-1237	抗癲癇：耳殼：不同頻率：high mobility group box 1：toll-like receptor：nuclear factor-κb
PB10507-2301	不織布隔離膜：高分子凝膠電解質：熱收縮率：離子導電度
PB10507-1136	生質能源：固態醱酵：能源作物：比產氣率
PF10507-0371	績效責任：教師領導：教師專業：教師績效責任領導
PE10507-0275	標準化：玉二媽：柔懿夫人：民間信仰：傳說
PB10507-0595	鈦基非晶態合金：耐腐蝕性：應變速率效應：剪切帶：in-situ tem：合金元素：退火製程
PB10507-0218	快塑氣壓成型：5xxx鋁合金：6xxx鋁合金：汽車侧門：超塑性成型
PB10507-2724	脈衝電鍍：鉻碳：自潤滑：複合鍍層：磨潤
PB10507-0907	氧化鋅：磊晶成長：緩衝層：化學溶液沉積法：側向磊晶成長：晶體缺陷：複合材
PF10507-0380	高等教育：勞動市場：政策工具：政策設計：跨域治理
PF10507-1402	健康照護支出：藥品支出：分量迴歸：反事實分析
PB10507-1012	親子臥艙：多項羅吉特模式：混合羅吉特模式：願付價格：spike模式
PA10507-1403	電漿子學：光伏效應：電驅螢光：植物絡金屬錯合物
PF10507-1042	身體意象：青少女：心理教育方案：舞蹈治療
PF10507-0426	認知功能輕微缺損學生：社會互動能力：數位合作學習：情境學習：遊戲本位學習：多代理人
PA10507-0743	多鐵材料：磁性：電性：結構：對稱破壞
PA10507-0345	懸浮微粒：小組研究：尖峰吐氣流率：呼出一氧化氮
PB10507-3196	非接觸式電力傳輸：磁感應式耦合：初級側諧振：矩陣式鐵芯模組：新型互導模型gm(jω)：共模（cm）emi 雜訊
PB10507-0363	紅酒氣味及成份：氣體感測：智慧型紅酒鑑定系統
PF10507-1993	全人照護：客觀結構式臨床測驗：能力導向評量
PB10507-2968	異形管：奈米流體：非牛頓流體：場協同理論
PA10507-1459	二氧化碳：海水酸化：西菲律賓海：東海：南海：時間序列
PB10507-2156	人因工程：生理與心理：視環境
PG10503-0294	迴旋加速器：離子源：核醫藥物：密封射源：分子影像：影像醫材
PG10501-0229	即食食品：生鮮蔬果：即食肉品：冰品：衛生安全：食品中毒：病原菌
PF10507-0779	撮合頻率：委託決策：資訊品質：連續競價：集合競價：模擬試算
PA10507-1125	密度泛函理論：芬頓反應：過氧化氫：質子轉移：去氧核醣核酸
PC10507-0801	醣脂毒性：肥胖動物模式：糖尿病動物模式：尿激素型纖溶酶原激活物受體：spak
PF10507-0804	快速時尚：全球商品鏈：零售變革：供應鏈：紡織成衣業
PG10501-0221	脂肪肝：白虎加人參湯
PG10501-0227	辛香料：食品中毒：進口食品：病原菌：高風險環境
PA10507-1216	水的界面性質：z-scan：ohd-rike：熱擴散：極性：氫键網絡
PB10507-0052	軟性電子：透明導電薄膜：封裝薄膜：撓曲變形：疲勞：潛變
PF10507-1880	經濟成長：空間效果：縱橫平滑轉換迴歸模型：匯率：利率
PF10507-1472	法國司法部民法現代化修正草案：法國契約法：法國債法：債之證明：同性婚姻：民事結合契約
PB10507-2112	內燃機：丁醇汽油混合燃料：空燃比：燃油噴射
PA10507-1025	iwasawamodule：dual selmer group：global field：abelian variety：橢圓曲線：p-adic pairing：semi-simplicity
PC10507-0669	c型肝炎病毒：人類膽鹼激酶a：非結構蛋白ns5a：病毒複製體（rc)：膜狀網（mw)：脂 質滴：磷脂醯肌醇-4-磷酸激酶iiia：磷脂醯肌醇-4-磷酸：磷脂醯膽鹼
PF10507-1724	詮釋不確定性：交易不確定性：關係治理：契約治理：構型配適
PC10507-0429	缺氧：轉譯樞紐：纖維母細胞生長因子九：異構核糖蛋白m：基因剔除斑馬魚
PF10507-2252	新馬電影：華語電影：台灣性：生產實踐：自我/他者
PB10507-0819	模糊理論：船舶交通服務系統：海洋地理資訊系統：航路權
PF10507-2015	德菲法：醫學專業素養：里程碑計晝：名義團體法
PA10507-1444	先進微波探測儀：高光譜紅外線垂直探測儀：衛星資料同化：近即時颱風預報
PF10507-0515	處方優化：不適當處方：多重用藥：處方型態：全民健康保險申報資料分析
PE10507-0168	仇遠：趙孟頫：元詞：宋元之際：江浙地方
PB10507-2925	穿戴式裝置：光照治療：失智症：睡眠障礙：憂鬱：磁振造影：主觀認知下降：家庭照顧者
PB10507-0038	無線獵能通訊：波束成形：資源管理
PF10507-1932	ted：多元文化能力：課程發展
PF10507-0817	配對問題：大學招生：學校選擇
PA10507-0439	毛細管電泳：藥物：選擇性血清再吸收抑制劑：鏡像異構物：高靈敏度：高分子堆積技術
PF10507-1270	莎士比亞：羅馬式德性：政治風格：人性：民粹主義
PB10507-2670	蒸汽管路：hardy‐cross 管網分析法：遲滯點：蒸汽管網暫態分析
