PG10812-0040	戶外教育：活動理論：十二年國民基本教育：校訂課程
PG10502-0136	乳房攝影儀：電腦斷層掃描儀：透視攝影儀：輻射醫療曝露品質保證
PG10711-0025	藥品與醫材管理品質：產業合作計畫：早期臨床試驗：精準醫療：培訓與留才機制
PG10812-0123	離岸風電：海氣象觀測：工程設計：可工作機率
PG10812-0124	生活用品：化學暴露：孩童暴露：鞋靴：健康風險評估：貝氏統計
PG10812-0117	客語：國小：沉浸式教學：苗栗：臺三線
PG10812-0118	語法差異：語法調查：四海大平安南：客語語法：語法接觸
PG10812-0120	大溪：台三線：信仰：宇宙觀：族群關係
PG10812-0131	東部客家：宗族/宗親：宗親政治：性別結構：族群關係
PG10506-0024	放射治療：放射治療品質保證：醫用直線加速器：遙控式後荷近接治療機：電腦斷層治療機：電腦刀：加馬刀
PG10812-0133	鋰電池：回收：高值
PG10812-0187	跌倒偵測：影像辨識
PG10812-0150	夏威夷：客家移民：在地化
PG10812-0181	廢面板玻璃：奈米孔洞調控技術：調濕材料
PG10812-0184	六堆：忠義亭：文物：數位典藏：建亭三百周年紀念
PG10812-0186	環境振動：易發生噪音設施：振動：振動管理
PG10911-0070	建築物無障礙設施設計規範：解說手冊
PG10802-0377	gmp：qsd
PG10803-0001	肺結核：結核分枝桿菌：發炎體：遺傳變異
PG10812-0188	智慧化：電池：回收機：循環經濟
PG10911-0059	國際鏈結：國際交流：創新創業：新南向政策
PG10812-0215	人工智慧：物聯網：智慧感測健診：馬達
PG10812-0210	半導體封測產業：tray盤3d檢測設備：自動化：光電：軟體
PG10812-0252	公民投票：電子投票：電子投票機制
PG10807-0313	加護病房：呼吸器脫離
PG10812-0121	有義波高：波浪週期：颱風：海氣象觀測系統
PG10812-0180	兒童死因：兒童死因回溯：兒童死因分析
PG10901-0566	智慧生醫：數位病理：3d組織病理
PG10812-0106	瀕危語言：客語：長樂腔：五華腔：比較方言：少眾客語
PG10812-0126	醫護客語：響應式網頁：網路教學平台
PG10812-0265	性別工作平等法：撫育未滿3歲子女：減少或調整工作時間
PG10812-0191	智慧門鎖：智能旅館
PG10812-0229	個人資料保護法：個人資料保護管理制度：風險評鑑：查核：歐盟一般資料保護規則
PG10812-0164	深度學習：人工智慧：圖形辨識
PG10812-0248	虛擬實境：華語學習
PG10812-0264	影片製作：影片配樂：版權音樂：藝術圈
PG10901-0102	聯網智慧機車：機車安全：行為分析：行為評鑑：多元感測融合：安全警示系統
PG10812-0277	客家：媒體再現：族群認同：客家文化形象：兩岸四地新聞
PG10812-0138	普查：傾向分數配對法：循證政策制訂
PG10911-0016	行動商務：平臺
PG10812-0258	里山資本主義：關西鎮：地方創生：客庄
PG10812-0154	客語拼音：客語用字：應用軟體
PG10812-0157	google在地嚮導：臺三線：文化觀光：客家文化：客家文學
PG10812-0166	臺灣客家音樂：跨界：族群：翻唱：笑科劇：流行歌曲：李文古：呂金守
PG10812-0156	大湖草莓：經濟鑲嵌：集體記憶：文化資產：地方想像：典藏庫房
PG10912-0010	原住民：就業：統計
PG10812-0136	客家老人：人口老化：長期照顧：老人照顧：主要照顧者
PG10812-0137	客家社團：族群資本：客家網絡：北美客家
PG10812-0158	浪漫臺三線：客家：文化：媒體再現
PG10812-0172	物聯網：無人機：無線供電
PG10812-0173	客家：六堆：武術：身體感
PG10812-0168	臺灣客庄地方創生：資源基礎：關鍵成功因素：治理網絡：品牌打造
PG10812-0151	蕭如松：水彩畫：青雲畫展：客籍藝術家
PG10812-0171	胺類萃取劑：電化學：廢棄鋰電池
PG10812-0147	文化認同：詔安客家：植物多樣性：文化歸屬
PG10803-0053	新興影響精神物質：管制：藥物濫用
PG10812-0170	稻作：洋菇：調適：客家
PG10812-0183	智慧製造：資訊安全：物聯網：韌體保護：裝置識別：安全燒錄：防山寨：防駭
PG10812-0130	加拿大客家：網絡分析：客家社團：客家研究
PG10812-0307	護理人員：健康促進生活型態：代謝症候群認知
PF10901-0012	教育大數據：學習分析：適性化學習：個體差異
PG10812-0202	反應輪：永磁同步馬達：結構設計：馬達驅動
PG10812-0159	客家：平埔：民俗
PG10812-0174	客語：手機鍵盤：輸入
PG10812-0135	客家社團：族群資本：北美客家：客家網絡
PG10812-0175	電子廢棄物回收：超重力旋轉填充床：ic晶片碳化：細懸浮微粒控制
PG10812-0238	環境健康識能：環境健康風險：非正式教育：社區參與：風險感知
PG10812-0125	食品衛生：食品安全：食安：保健營養食品工廠驗證：保健營養
PG10812-0179	水利數值地形模型：空載光達：水利三維特徵：淹水模擬
PG10812-0226	企業社會責任：經濟：環境：社會：聯合國永續發展目標
PG10803-0212	健康科技評估：成本分析：衛生政策
PW10803-0292	肝硬化：門脈高壓：nicotine：肝門-系統側枝循環：血管反應性
PW10803-0293	腎絲球腎炎：足細胞：類固醇：次世代定序：精準醫學
PG10812-0185	奈米質譜胃癌檢測：生物性指標：生物資訊相關方法：生物醫學
PG10812-0182	廢液晶面板玻璃：重金屬：吸附選擇性
PG10901-0207	雲端服務：桌面虛擬化
PG10901-0069	氣候變遷調適：海洋空間規劃：海洋產業：文獻計量學：空間分析：焦點團體
PG10901-0119	公彩回饋金：社福補助
PG10812-0127	人工智慧：客家：食用植物：互動式學習系統app：卷積神經網路
PG10812-0128	客家：客家文學：民間文學：諺語：資料庫
PG10806-0045	廣告：公平交易法：網路科技
PG10805-0124	專用網路：無人機：智慧醫療：體感娛樂：系統整合
PG10901-0209	電子病歷：區塊鏈：智能合約：資訊安全：個人資料保護
PG10812-0253	紙漿：奈米纖維素：高值化
PG10812-0143	國民教育：社區營造：地方社會：學校本位
PG10901-0086	藥害：救濟：訴願：合法藥物：正當使用
PG10805-0111	專利地圖：專利布局：科技專案計畫：人工智慧
PG10901-0477	福爾摩沙五號：光學遙測酬載：在軌輻射校正：在軌幾何校正
PG10805-0071	紅外光：遠紅外光：燙傷
PG10805-0072	中醫：睡眠檢查
PG10805-0075	遺漏帶針：手持式毫針檢測器
PG10805-0079	體適能：生活品質：職場
PG10812-0297	間質性膀胱炎：膀胱疼痛症候群：肌肉骨骼功能失調
PG10812-0312	人體生物資料庫：合作聯盟：生物標記：研究網路：大數據：生物資訊：人工智慧
PG10812-0319	資料盤點處理分析：資料集中備份與清整：資料互通整合分析：共通資料交換標準規範文件：資料倉儲加值應用規畫：資料探勘：護理行政管理：公共衛生統計分析
PG10812-0263	生活型態：健康行為：高血壓：高血糖：高血脂：疾病歷程：模擬分析
PG10812-0177	地方創生：地理資訊系統：地方經濟社會分析資料庫：文化鑽石理論
PG10901-0037	循環經濟：物質流：電力業：煤灰：能資源再利用：海事工程：成本效益分析
PG10812-0232	主動式噪音控制：航空噪音最大音量：麥克風陣列
PG10711-0061	營運績效評估：財務：運動場館
PG10812-0193	曾貴海：客家現代詩：母語敘述本位：台灣原鄉
PG10901-0008	兒童死亡回顧：嬰兒死亡率：五歲以下兒童死亡率：預防計畫：可避免死因
PG10901-0004	原住民族學童：健康識能：文化合適性：體位管理：健康行為
PG10812-0342	數位化：小客車租賃：智慧運輸：平台：交通行動服務
PG10812-0239	環境健康識能：環境健康風險：非正式教育：社區參與：風險感知
PG10901-0091	適地化商業模式：數位創新行銷：主題發展拓銷
PG10812-0213	電子電器(電子資訊產品)：再生料：消費後塑膠
PG10901-0568	智慧零售：ai模型：機器人：人機互動介面：銷售預測：數據分析：物聯網：推薦系統
PG10812-0243	資源再利用：卜特蘭水泥：廢玻璃容器再生料
PG10812-0247	廢輪胎：押出機：再生膠
PG10812-0257	光污染：眩光：閃爍：led組合燈：光環境監測：光污染管理指引(草案)
PG10812-0298	客家：語言地圖：源成七界：二林鎮：彰化縣
PG10812-0306	住院病人友善照護：共聘照服員制度：滿意度
PG10812-0231	糖尿病：眼科：檢查率：服務量能：試辦
PG10812-0219	勞動經驗：家庭政治：工業化勞動：客庄生計
PG10812-0250	美濃：食農教育：農業補習教育：百年校慶：龍肚國小
PG10812-0311	心血管疾病：個案討論會
PG10901-0122	不實資訊：機器學習：人工智慧：社群媒體平台：資訊安全防火牆
PG10904-0088	反射訊號：gnss反射訊號：海面風
PG10812-0233	電動：三輪機車：輕型車輛
PG10711-0016	質子放射治療：產學合作：成本效益：臨床試驗計劃管理機構：幹細胞：臨床試驗聯盟
PG10702-0088	底泥整治：土壤整治：二仁溪：模場試驗：相反轉法：持久性有機污染物：戴奧辛
PG10801-0549	新興影響精神物質：在地化：藥物濫用分析指標：政策評估
PG10801-0018	轉錄亞型分子：細胞凋亡：化療藥物抗性
PG10812-0220	原住民族：傳統慣習
PG10812-0225	地景：老年：文化永續：想像人類學：客家：北臺灣：檳城
PG10712-0216	運動場館調查：運動場館滿意度調查：運動中心滿意度調查
PG10712-0138	多重抗藥性(mdr-tb)：廣泛抗藥性結核菌(xdr-tb)：genotype抗藥性分子快速檢測：genexpert抗藥性分子快速檢測
PG10709-0016	axl激酶抑制劑：酪胺酸激酶抑制劑抗藥性：表面電槳共振系統：全自動微量細胞株生物製程開發平台：核磁共振光譜儀
PG10612-0071	水文地質：隧道施工：地下水資源：環境保護
PG10711-0042	電化學氧化法：即時分析系統：生物毒性篩檢技術：苯類污染物：地下水
PG10812-0216	青銀共事：青年就業：銀髮就業
PG10812-0249	土壤：地下水
PG10801-0767	藥品優良運銷規範：國際醫藥品稽查協約組織
PG10807-0102	工藝：工藝史：花東地區：藝術史
PG10812-0302	原住民族：人口統計：全民健保：死因統計：社會福利
PG10812-0230	商業智能：室內定位：線下行為分析：數據分析：資料探勘：人工智能：數位廣告：行銷科技
PG10812-0227	手勢辨識：人機介面
PG10812-0234	廢輪胎橡膠粉：橡膠瀝青：橡膠瀝青拌合設備
PG10807-0156	細懸浮微粒：同位素：污染來源鑑識
PG10807-0098	需求面管理：顧客價值分群：用戶互動參與
PG10807-0099	移動測繪系統：衛星定位技術：直接地理定位：測繪車：光達：率定
PG10704-0090	成效試驗規範：鋪面車轍：瀝青混凝土水侵害：漢堡輪機試驗
PG10812-0235	車輛裝載貨物：指引手冊
PG10802-0261	多頻譜：光源模擬：多角度頻譜量測：多角度色彩複製：金屬色模擬
PG10802-0150	結核病：潛伏結核感染全都治：isoniazid：抗藥性：速克伏
PG10812-0268	鼻咽癌：死亡率：世代研究：健保資料庫
PG10901-0099	延伸型整合性科技接受模式(utaut2)：糖尿病病患：電子書：衛生教育
PG10805-0029	大腸直腸癌：二烯丙基二硫：5-氟尿嘧啶
PG10812-0271	綠色採購：綠色產品認定方法：生命週期評估
PG10805-0146	海洋事務：人才管理：教考訓用
PG10806-0044	著作權：專屬授權：公平競爭
PG10901-0062	貧窮：就業：脫貧：低收入戶：中低收入戶
PG10901-0046	針灸：阻塞型中風：失能改善：併發症
PG10812-0267	聚氨酯：化學回收：再利用
PG10805-0152	智慧健康城市：智慧健康職場：健康生活圈：健康促進：體重管理
PG10803-0096	小腦萎縮症：開心散
PG10802-0301	高速運算晶片：電腦視覺：自然語言處理：語音辨識：運動控制：機器學習
PG10802-0317	偏極化雷達：定量降雨估計：水象粒子
PG10802-0335	口腔復形規劃：數位口腔咬合模擬：攝像式口內掃描系統：雷射銑削加工之補綴系統：脊椎微創導航：機器人
PG10812-0328	都市客家：當代客庄：客家族群：社區
PG10812-0336	重金屬：水安全計畫：生物性指標
PG10901-0044	農藥廢容器：水泥廠：替代燃料
PG10812-0299	新住民女性：生活壓力：社會支持：生活品質：跨族群比較分析
PG10812-0301	客庄：變遷
PG10710-0069	癌症與免疫治療：免疫調節與預後因子：中西醫整合療法：增加存活率：和緩副作用
PG10812-0276	客家話：變調：小稱：基頻：大埔：東勢
PG10812-0278	語言資源：語言規劃：客語：語言政策
PG10901-0059	數位創新：國際行銷
PG10802-0321	區塊鏈：智能合約：商業實證
PG10802-0338	失智症：中西醫：日間照護
PG10905-0043	金屬製品製造業：安全衛生診斷調查表：職業性癌症：職業危害介入
PG10901-0068	公共建設工程經費估算編列手冊：建築工程：預算編列
PG10812-0305	健康食品：食品工廠良好作業規範
PG10812-0335	遠距居家健康照護系統：紅外線感應器：機器學習演算法
PG10709-0037	高密度人工石墨：高強度碳/碳複合材料：二氯二氨基苯化甲烷：無氯苯銨
PG10812-0270	水工模型試驗：平衡淘刷深度：地形侵淤變化
PG10802-0265	面板級扇出型封裝技術：重分佈線路層：抗靜電電路之重分佈線路層：系統級封裝
PG10807-0274	公路養護巡查：人工智慧：影像辨識
PG10807-0273	感潮橋梁：橋梁檢測：機械手臂
PG10711-0008	臨床試驗：癌症：心血管：幽門桿菌：感染症：生物統計資料處理
PG10802-0286	透明顯示器：動態資訊融合：指向式互動：眼球追蹤：互動式深度感測：智慧育樂：智慧零售：智慧醫療
PG10803-0205	聽力障礙：憂鬱：認知：老人
PG10812-0300	快速公路：交流道
PG10812-0330	敗血症：海洋弧菌：發炎：誘導性幹細胞：胞泌小體
PG10712-0225	能源資料申報整合平臺：能源資料申報法規：線上申報作業
PC10807-3276	肌少症：生物活性胜肽：耐力運動：骨質疏鬆症：第2型糖尿病
PA10807-3168	胱氨酸-穀氨酸反向轉運蛋白：抑制劑
PB10807-6837	複介電常數：複導磁率：微波熱處理：非熱效應：碳纖維：生質柴油：共振腔：共振頻率：品質因子：環形器：介電常數：正切損耗
PB10806-0174	深度學習：材料影像：影像辨識：光學影像：雜質：特徵工程：雲端平台
PB10806-0138	2k-h型行星減速機：內齒輪對：相對功理論：雛型機加工：傳動效率
PB10806-0159	監控攝影機：影像處理：建築震後快速損傷診斷：層間位移比
PF10806-0120	智慧科技：數位學習：科普推廣：機器人競賽
PB10806-0256	股票投資：投資預測：輿情分析：深度學習
PF10806-0121	數學建模：黑客松
PD10806-0016	生物資訊：高通量實驗：巨量資料：基因體定序：蛋白質結構：次世代定序：病理影像：雲端服務
PA10806-0008	生物入侵：紅鼓魚：耳石微化學：穩定同位素分析：食物位階
PB10806-0260	魷釣漁船：模組化led漁業燈具：智慧農業：智慧照明
PB10806-0258	長期照護：穿戴技術：遠距醫療：穿戴健康管理
PA10806-0009	血小板：水凝膠：雙離子：敷料
PF10806-0034	消費衛星群像：我生態：策略邏輯：行動研究
PA10806-0012	溫泉紅藻：光抑制作用：次世代定序：基因體組裝：轉錄體組裝：基因體註解：轉錄體表現差異分析：葉綠素螢光分析：高效能液相色層分析法
PB10806-0285	自駕車：光達：頻率調變連續波光達：同調光收發模組：光積體迴路：光學相移器：累增崩潰光二極體
PB10802-0050	物聯網：評價構造法：智慧環控
PD10801-0135	a型血友病：人類第八凝血因子：磁性奈米包膜材料：基因治療：肝臟表現型載體
PB10801-1385	掌性三嵌段共聚物：自組裝：掌性效應：同掌性演化：網狀結構：螺旋立體障礙：模板化合成法：超穎材料
PB10801-1398	澱粉-脂質複合物：米種類：脂質種類：消化特性：估計升醣指數
PA10801-0544	crispr基因編輯：crispri library系統：藍綠菌：代謝工程：代謝網路：3-丁二醇
PA10801-0541	低維度電子材料壓電：磁電：熱電：光電相關新穎性質研究
PB10801-1301	文化資產教育：世界遺產：文化資產：現地教學：台灣世界遺產潛力點
PB10801-1626	超高分子量聚乙烯：超臨界二氧化碳：奈米活性碳：凝膠紡絲：超高延伸
PF10801-0808	大學生：建構層次理論：環境教育：情節性未來思考：知覺風險：利環境行為：自我控制
PF10801-0919	社會性科學議題：教師專業成長：師資培育：科技導入教學
PA10801-0572	貝氏推論：條件風險值：偏離訊息準則：過度零和連續零：整數型時間序列：標籤切換：邊際平均損失：馬可夫轉換模型：mcmc方法：多元學生t分配：過度分散：尺度混合常態：系統性風險
PF10801-1027	人才流動：聘僱中介：東亞：全球城市
PF10801-1023	哲學人類法：法律人類學：人性：法理學
PB10801-1589	無人航空載具：人工智慧：自主飛行系統：自動避障：物聯網：5g行動網路：偵察與閃避技術：軌跡規劃
PF10801-1016	虛擬沉浸：虛擬實境：擴增實境：混合實境：情感
PC10801-1270	糖代謝：nad+：sirt1：骨化：間葉幹細胞：骨質疏鬆症
PF10801-1029	警察人員：工作壓力：職業倦怠：離職意向：性別：特考警察：一般警察：行政警察：交通警察：刑事警察：職家衝突：工作危險性：工作滿意度：組織承諾
PB10801-1553	馬氏-田口系統：非平衡資料問題：集成學習法：裝袋算法：分類：屬性篩選
PC10801-1006	類風濕性關節炎：抗瓜氨酸化蛋白質抗體及胜肽精胺酸去亞胺酶
PB10801-1522	圖像檢索：時尚商品推薦：深度學習
PA10801-0596	磁異向性：介面電荷轉移：x光吸收：x光磁圓偏振二向性：電子結構
PD10801-0144	化學訊息傳遞物質：昆蟲誘引劑：忌避劑：害蟲綜合防治：抗氧化物：蛋白誘導劑：抗性：毒素：黃酮類化合物：過敏性反應：過氧化氫：酚醛樹脂
PF10801-1146	制度韌性：制度恆性隨創：複雜系統：社群經濟
PB10801-1738	電源閘控：喚醒排程：負偏壓溫度不穩定效應：晶片健康狀況：機器學習
PF10801-1140	老年人：健康屬性：長期照護政策：健康照護結果軌跡：效益：平均餘命
PF10801-0947	經濟發展：資助孩童：教育：健康：成效評估：蒙古：吉爾吉斯：尼泊爾
PC10801-1154	外泌體：免疫調整功能：敗血症：全身性紅斑狼瘡
PC10801-1157	社會網絡：護理學生：睡眠：音樂照護：縱貫性研究混合成長模型
PB10801-1755	海洋資訊科學：雲端架構：巨量資料：漁業管理：熱點分析：漁獲推估：作業行為分析：資料視覺化
PB10801-1889	密度泛函理論計算：分子模擬計算：多尺度計算：金屬有機框架結構：混合基材薄膜：介面與氣體分離
PD10801-0195	乙二醇：二氧化碳再利用：生物合成：大腸桿菌：還原性檸檬酸循環
PB10801-1896	癲癇：顱內腦電位：腦波：功能性磁振造影：深度學習：循環神經網路：長短程記憶模型
PB10801-1854	即時通訊：情緒：臉部表情：生理訊號：溝通模式
PA10801-0765	族群基因體學：社會型節肢動物：社會行為基因：rad-seq：漢彌爾頓法則
PC10801-1267	巴金森病：atp13a2：啟動子多型性：轉錄調控：自噬體/溶酶體功能異常：治療策略開發
PD10801-0203	胸膜肺炎放線桿菌：外毒素apxi：淋巴細胞功能相關抗原-1：訊息傳遞
PB10801-1914	異重流：平面斜坡：水槽實驗
PA10802-0027	數學學門業務推展：數學學門重點研究領域：計畫審查
PG10802-0198	呼吸道病原體：檢驗套組：多重快速檢驗
PG10802-0267	高能光纖雷射源：雷射銲接：鋰電池銲接：電動巴士：電池模組銲接：直泵式雷射
PB10803-0026	apec減災綱領：緊急應變工作小組：科技創新政策夥伴：能力建構
PB10803-0013	智慧農業：人工智慧：深度學習：電腦視覺：行動機器人：機械夾爪：奈米塗層：菇菌場
PA10803-0003	魚類耳石形態：石首魚：分類學：魚類群落：族群結構：生活史：人為生態衝擊：考古遺址：更新世
PG10805-0117	線上申辦暨多元化便民繳費平台系統：功能擴充
PG10805-0121	毒品：安非他命
PG10805-0118	ai影像偵測技術：觸動號誌控制：交通資訊整合系統
PB10806-0267	電子化全球導航衛星系統：即時動態定位：地籍測量：改善策略
PB10806-0407	吸收率：放射率：最佳化：輻射熱
PB10806-0410	循環經濟：智能控制：蚯蚓：再生利用：落葉堆肥
PF10806-0094	宗教旅遊觀光：宗教旅遊app：gps全球定位系統：廟宇與信眾關係強化：顧客化社群平台服務
PB10806-0403	物聯網：lora：ble：居家照護：燈光控制
PF10806-0093	設計思考：學習經驗：學習風格：跨領域教學模式
