PG10707-0063	智慧建築：推廣策略
PG10703-0107	輔具產品通用設計競賽：輔具優質市售產品評選：溝通智慧輔具安全檢測標準與驗證能量：行動智慧輔具檢測標準與驗證能量：無障礙智慧輔具檢測標準與驗證能量：個人智慧輔具檢驗標準與驗證能量：智慧照護輔具產品國際最新管理制度與福祉推動研討：智慧輔具通用設計推廣與國際交流
PG10703-0120	成年犯罪人：社區處遇制度：大數據分析
PG10703-0108	陸路運輸：溫室氣體：評估指標
PG10703-0129	房屋稅：路段率
PG10701-0484	火損結構材料探傷：剪-壓波速比：火害破壞力學特徵：非破壞檢測：資料庫：資料探勘：導波量測
PG10706-0386	通膨估值：消費者物價指數：一般化動態因子模型
PG10706-0388	替代役：服勤效益
PG10706-0231	臺北市立圖書館：滿意度調查：公共圖書館
PG10804-0121	無人飛行載具：uav：森林資源
PB10706-0177	感測器：穿戴式裝置：智慧精密機械：車用電子：異質晶片：磨耗：殘留：微裂痕：動態多焦點透鏡設計：表層與內層：剝蝕與劈裂
PG10701-0345	抗藥性結核病：快速分子抗藥性檢驗：接觸者檢查：復發
PG10706-0358	臨時構造物：管理機制：可行性評估
PG10706-0339	機率式地震危害度分析：近域反應譜：海嘯數值模式：navier-stokes方程模式：海嘯作用力：重啟動：累積絕對速度：土壤結構互制
PG10706-0338	建築火災：現場熱煙試驗：火源
PG10706-0317	國家癌症防治：癌症流行病學：健康政策與管理
PG10706-0292	壽命評估：次臨界鍋爐
PG10612-0175	腫瘤相關巨噬細胞：腫瘤治療：奈米顆粒
PG10709-0042	花東地區：公車準點：共享運輸：旅運資訊平台
PG10709-0035	智慧運輸系統：管考輔導：平台：電信數據應用
PG10709-0012	協和電廠：天然氣接收站：海洋牧場
PG10701-0004	藥物濫用：記憶固化：甲基安非他命：記憶再固化：杏仁核
PG10701-0423	能源資料申報整合平臺：能源資料申報法規：線上申報作業
PG10706-0004	十二年國民基本教育：課程綱要：課程發展：關注課題
PG10701-0301	世界氣象組織：人工觀測：數位化
PG10706-0082	生活服務業：數據情報：內容行銷：商業智慧
PG10812-0266	評鑑：運動中心
PG10706-0359	框式施工架：交叉拉桿：水平護欄
PG10703-0214	資通安全分析管理平台：應變處置：分析分享：資安鑑識
PG10708-0060	中文編碼：資訊處理
PG10708-0052	諾麗果：糖尿病：降血糖
PG10706-0373	國際醫療器材命名系統：醫療器材分類分級：醫療器材全生命週期管理
PG10707-0002	文化科技：文化政策：互動技術：前瞻技術：跨領域創新
PG10707-0028	多重藥物治療：單一藥物治療：抗精神病藥物：抗鬱劑：情緒穩定劑：時序分析
PG10701-0051	腦癌：影像基因學：影像蛋白質學
PG10707-0096	徵件比賽：健保
PG10707-0113	愛滋病毒：高效能抗病毒藥物：靜脈藥物注射者：鴉片替代療法：權變管理
PG10706-0336	大氣電漿：打粗製程：表面活化：鞋底貼合：揮發性有機化合物
PG10706-0357	混合車流：號誌：機車：號誌控制
PG10701-0317	臺灣梅花鹿：族群結構：棲地利用：族群量估算：空間分布模式
PG10701-0324	潛變損傷：複製膜：熱影響區：潛變孔洞：空孔
PG10805-0123	就業保險法：失業：育嬰假：育兒婦女
PG10612-0242	二體彈簧滑體模型：黏性效應：相互作用：遷移：混沌
PG10701-0005	新南向：衛生安全：全球衛生安全議程：國際衛生條例：國際合作
PG10706-0296	微觀組織：超臨界鍋爐
PG10706-0297	微觀組織：超臨界鍋爐
PG10707-0112	潛在剖面分析：急性後期照護：中風：高度復原表現群組：功能評估指標：臨床特性：多項式羅吉斯迴歸
PG10701-0356	正子放射同位素：調製作業：查核：教育訓練：法規研析
PG10702-0255	多能隙：非晶/奈米晶矽薄膜：低溫透明導電膜：異質接面：電漿增強化學氣相沉積
PG10703-0337	長期追蹤調查研究：量尺等化：似真值：試題位置效應：差異試題函數
PG10701-0536	校長專業學習社群：指標系統：國民小學
PG10707-0104	新竹：客家：科學城：都市社會：創意
PG10805-0114	電氣：活線作業：器具
PG10702-0185	食品原料：非傳統食品原料：安全性評估：溝通平台
PE10701-0291	靜浦文化（阿美文化）：阿美族：diwas：民族考古學：祭壺器社會生命史：形成過程
PG10701-0463	能源報導：能源：政令宣導
PF10701-1133	水平位置：垂直位置：廣告文字呈現方向：產品態度：腦電波
PG10701-0376	臺灣能源工程模型：臺灣永續能源發展模型：能源政策評估
PG10707-0114	候用校長：甄選：國民中小學
PM10606-0110	智慧財產：管理：內部控制：產業創新條例
PM10606-0007	鞋類：成衣服飾：智慧製造：染整
PG10706-0205	電腦斷層攝影：雙能影像：碘基圖：大腸癌分期
PG10711-0058	福衛三號：福衛七號：大氣資料同化：掩星觀測
PG10711-0057	全球導航系統：精密定軌：軌道擾動：軌道預測：基準資料
PM10606-0079	鑄造：砂模鑄造：3d列印：積層製造：數位鑄造：快速原型
PG10702-0241	模內成型：精密成型：影像分析：統計製程管制
PM10606-0037	積層列印：熱塑性線材：層間強度
PG10710-0060	智慧國家：digi+方案：數位建設：台灣ai行動計畫：5g頻譜：智慧城鄉
PG10710-0059	公共工程：價格資料庫
PM10606-0039	綠色成長：綠色設計：產品生命週期：綠色創新
PM10606-0092	產學訓合作：產業人才發展：人才需求分析：人才發展趨勢
PM10606-0093	感測器：人工智慧：無人載具
PM10606-0098	產業永續發展：綠色工廠：清潔生產：企業社會責任
PG10701-0302	績效管理：績效評估：計畫績效：策略規劃
PM10606-0017	國際環保標準：企業社會責任：企業社會責任
PG10703-0105	致癌物：化療藥物：細胞毒性：尿液：液相層析質譜儀：國際癌症研究機構
PG10709-0022	輸入食品：邊境管理：邊境查驗：輸入查驗
PM10606-0024	智慧機械：工業4.0：智慧製造
PM10606-0121	推廣：資源再生綠色產品：廢棄物再利用
PM10606-0055	工業廢棄物：資源再生產業：資源再生產品：再利用技術
PM10606-0128	長波段可見光：高耐磨：抗污：long wavelength visible light：high abrasion resistance：stain release
PM10606-0130	高值：創新：發光二極體：應用
PM10606-0031	全面品質管理：國家品質獎：卓越經營
PM10606-0032	中小企業：技術升級：技術改善
PG10706-0362	鋼筋混凝土：補強：鋼板
PM10606-0033	能源管理系統：示範輔導：推廣宣傳
PM10606-0034	ic設計：ic製造：ic封測：智慧電子：物聯網
PM10606-0136	金屬產業：金屬基本工業：金屬製品業：扣件業：金屬工具業：表面處理及熱處理業
PM10606-0139	產業競爭力：產業發展政策：主要經濟體
PM10606-0140	物聯網：生技醫藥：綠能科技：創新創業：智慧機械
PM10606-0063	台日：產業合作：產業推動
PM10606-0064	在地老化：福祉產業：中高齡生活支援服務：創新服務模式
PM10606-0067	產業園區：能資源整合：溫室氣體減量
PM10606-0141	品牌發展：全員品牌管理：台灣20大國際品牌
PG10710-0062	核能產業：廠商名錄：技術規範
PM10606-0003	生質能：環保產業：溫室氣體
PM10606-0008	節能減碳：高效率節能產品：低碳技術：能源資通訊技術
PM10606-0011	能資源：區域整合：循環利用
PG10712-0005	廉政研究：清廉度：民意調查：廉政指標
PG10709-0038	人用藥品轉供動物使用：動物專用人用藥品
PG10702-0134	晶片身分證：健保卡：兩卡合一
PG10702-0135	藥物濫用：新型精神活性物質：毒品使用盛行率：re-aim分析模型
PG10702-0137	飲用水：塑膠纖維
PG10706-0390	農林漁牧業普查：微觀模擬數據
PG10707-0090	塔塔加：吸血昆蟲：庫蠓
PG10712-0169	環境害蟲：抗藥性：鑑識劑量：生物檢定
PG10612-0237	手部衛生：長期照護機構：感染管制
PG10702-0254	高仟瓦：光纖雷射源：雷射合束器
PG10712-0185	醫療科技評估：健保特殊材料管理支付策略：真實世界資料分析：骨科特殊材料
PG10711-0040	美國稅改：美中經貿：中國大陸經濟：臺商
PG10711-0073	鋁擠型：7075合金：2024合金：航太：熱處理：nadcap
PG10712-0187	環境污染源鑑識：檢測機構管理：地理資訊系統
PG10703-0338	電力決策：風險感知：市場區隔：電價計算器
PG10704-0112	活躍老化：活躍老化指數：老年政策
PG10707-0082	數位匯流：線上影音：服務品質：體驗品質：內容傳遞網路：影音串流：影音品質評估指標
PG10711-0044	同步輻射：加速器：光源：光子源：光束線：奈米顯微術：蛋白質結晶學：中子
PG10711-0046	中國大陸：對臺工作
PG10701-0207	大屯火山：永久散射體-合成孔徑雷達干涉技術：gps連續站：水準測量：無人飛行系統：變遷偵測：地形分析：火成岩
PG10701-0490	能源技術服務產業：節能績效保證：節能績效量測與驗證
PG10701-0312	光催化透水性反應牆：覆膜光纖：噸級土壤箱：三氯乙烯：現地整治
PG10707-0111	basel iii：流動性規範
PG10702-0199	穿戴式裝置：智慧型紡織品：穿戴式輔具：智慧健康照護：technology enabled care：行動健康照護：健康老化：智慧服飾
PG10710-0066	零售支付結算平台：快捷支付系統：電子支付跨機構共用平台(電支共用平台)：架構化訊息標準
PG10711-0011	雕塑：中部：近代
PG10707-0085	alizarin：a549肺腺癌細：凋亡
PF10701-0944	醫學教育：醫學系學制：壓力：學習倦怠
PG10703-0280	標準：計量：檢驗：認證：消費品安全
PG10704-0213	自主航行船舶：船舶操縱模擬器：遠端導控站：手持操控器：360度全景視訊：視訊縫合：微波骨幹網路
PG10611-0056	臨床試驗：癌症：心血管：幽門桿菌：感染症：生物統計資料處理
PG10611-0051	質子放射治療：產學合作：成本效益：臨床試驗計劃管理機構：幹細胞：臨床試驗聯盟
PG10612-0200	認知功能缺損：髖部骨折：老年：家庭照顧者：介入措施：性別
PG10701-0012	再生醫學：機械張力：毛髮幹細胞：禿髮：拉伸力
PG10702-0124	型態傷：物質濫用：交通事故
PG10701-0394	藥物食品安全週報：關鍵字分析：網路：社群：關注議題
PG10701-0254	國際法規協和會：醫藥法規：國際藥政法規協和化
PF10701-0682	擴增實境：展示：互動設計：博物館學習
PE10701-0019	弱視兒童：圖像：藝術教育：繪畫：教學策略
PF10701-0125	穿戴科技：線上健康促進課程：線上社群網絡：作息型態：身體活動：飲食行為：睡眠品質：課室專注力：創造力
PB10701-0918	資料同化：卡爾曼濾波器：四維變分法：大氣-化學模組
PF10701-0257	想像力：設計思考：產品設計：體驗
PC10701-1050	動脈血管鈣化：動脈粥狀硬化：動脈血管硬化：慢性腎衰竭：butylidenephthalide：脂蛋白e 基因缺陷小鼠：骨質形成細胞轉化
PA10701-0652	奈米質譜法：胜肽質體學：蛋白質體學
PF10701-0255	溝通能力：工程領域課程：指標建構：量表發展：成效評估
PA10701-0046	阿拉伯芥：抗氧化系統：金屬鑲嵌蛋白：離子怪定：銅/鋅超氧歧化酶：鐵超氧歧化酶：錳超氧歧化酶：超氧歧化酶活化機制
PC10701-1133	肝腦病變：感壓反射調控失能：心臟功能：粒線體失能：血管內皮生長因子：磁振造影
PC10701-0895	剪接基因突變：基因變異：轉殖斑馬魚：預後：急性骨髓性白血病
PA10701-0645	隨機式地動模擬：萊文貝格-馬夸特法：參數模型：逆推：臺灣地區
PA10701-0336	鐵載體：三價鐵離子：鐵索黴素：沙美黴素
PA10701-0414	birkhoff-smale 定理：橫同構點：混沌：速返擴張點：隱函數定理：覆蓋關係：拓撲半共軛
PC10701-0569	急性感染性心內膜炎：金黃色葡萄球菌：雙分子調控系統：躲避嗜中性白血球：生物膜
PB10701-1157	肝纖維化：脂肪肝：homodyned-k 模型：雜訊調變經驗模式分解：雙模態逆散射
PB10701-0820	量子點：列印式元件：合金：發光：無鎘
PC10701-0986	藥物運輸系統：細胞穿膜胜肽：蛋白質轉導作用：血腦障蔽系統：磷化銦量子點：三維組織架構：螢光分子斷層掃描
PC10701-0514	感染性心內膜炎：草綠色鏈球菌：生物膜：逃避嗜中性白血球攻擊：細菌自體溶酶素
PA10701-0529	天文觀測：恆星形成：星團：棕矮星：行星大氣
PA10701-0124	西南沖繩海槽：海床熱流值觀測：溫度模型：海床熱液系統：宜蘭平原地下構造
PB10701-0689	長距離低功耗傳輸技術(lora)：地震預警系統：智慧無線監測系統：結構健康監測
PB10701-1155	振動：肌電圖：肌肉訓練：肌肉疲勞
PA10701-0614	玻色–愛因斯坦凝聚：相變：gamma-convergence：非線性薛丁格系統：ｐ波金茲博-藍道方程組：超導現象
PC10701-1138	多能性：胚胎幹細胞：環形rna
PE10701-0065	naga：泰國東北地區：在地智慧：符號學：佛寺
PC10701-0477	阻塞型睡眠呼吸中止症：間歇性缺氧：吞噬能力：敗血症預後：史他汀
PG10701-0545	自閉症：需求：介入：照護
PF10702-0482	機器手臂：高安全係數：高扭力重量比：核能發電廠
PB10702-2305	演示引導機器人學習：人工智慧：深度學習：fpga硬體實現：特殊應用積體電路
PA10702-0447	混合層深度：衛星測高：線性迴歸模式
PB10702-2306	二氧化碳：甘油：碳酸酯：綠色製程：異相酸鹼觸媒
PA10702-0549	野生香蕉：苦瓜：族群遺傳：基因體學：遺傳定位：天擇：人擇
PA10702-0489	超保守序列基因體定序法：親緣基因體學：偷竊寄生：社會行為：寄居姬蛛
PB10702-2307	人工智慧：機器學習：深度學習：強化式學習：深度強化式學習：遞迴神經網路：長短期記憶法：蒙地卡羅樹搜尋：課程式學習：模仿式學習：轉移式學習：價值網路：策略網路：志願型計算：工作層級運算：可解讀性：圍棋：五子棋：六子棋：黑白棋：象棋：麻將：電腦對局遊戲：電玩遊戲：賽車遊戲：機器人：隨機工件夾取
PC10702-0690	腦與心智科學：專案計畫
PB10702-2031	微生物燃料電池(mfc)：流體動力學：流場模式：酒廠汙水：蜂巢網微生物燃料電池(hc-mfc)
PA10702-0531	質譜腸道菌：次級代謝產物：人體微生物組代謝質體學：質譜影像
PB10702-2483	車聯網：資訊安全防護：obd-ii：j1939：車輛診斷維修
PC10702-0572	[18f]feonm：tau蛋白：阿茲海默症動物模式：鏈佐徽素腦室注射
PD10702-0226	家禽里奧病毒：p17 蛋白：核孔蛋白複合體：核質穿梭：進核訊號：出核訊號：hnrnp a1：lamin a/c：細胞週期：週期素依賴激酶：週期素
PE10702-0221	長期照顧：原住民部落：非營利組織：資源連結
PC10702-0648	瘧疾：惡性瘧原蟲：質體樣細胞器：基因互補：基因體複製：dna 聚合酶：核苷類似物：定向基因演化
PB10702-2564	能源儲存設備：後鋰離子電池：多價數離子電池：導電孔洞材料
PB10702-2565	人工智慧：隨機最佳化：非線性最佳化：馬鞍點：不可分割函數：深度學習理論：循環類神經網路：函數近似理論：軟體定義網路：網路功能虛擬化：服務鍊佈建：第五代行動通訊網路：自由軟體實作
PB10702-2566	深度學習：遷移學習：模擬環境：模仿學習：學習與人互動
PC10702-0668	缺血性腦中風：創傷性腦損傷：幹細胞治療：生醫材料：產氣材料
PF10702-0452	避險會計：公司避稅：監督
PB10702-1994	多頻譜影像：超頻譜影像：自動目標識別：影像資料庫：圖形化人機介面：演算法程式庫
PE10702-0223	國家社會關係：社會組織：性別運動：運動策略：中國
PC10702-0593	非小細胞肺癌：上皮生長因子受體酪胺酸激酶抑制劑：後天抗藥性：小細胞肺癌轉化
PA10702-0428	個人化醫療：隨機模型：多階段模式：廣義線性隨機模式：兩階段抽樣設計法：傳染病：肺結核
PB10702-1984	低雲幕：能見度：光達式剖風儀
PB10702-2234	毫米波：積體電路：雷達：輻射計
PB10702-2637	水稻：t-dna 基因功能活化：兩側基因表現：機器學習
PC10702-0667	關鍵字: 醣醫學：醣科學：醣類：醣結合蛋白
PB10702-2175	金屬腐蝕：無鉻皮膜：二氧化矽皮膜：策略聯盟：技術品牌
PB10702-2159	過濾技術：薄膜過濾
PD10702-0244	日本腦炎病毒：基因型轉變：ns2b-ns3 蛋白
PB10702-2007	長期看照：多感測器：訊號處理：影像壓縮：積體電路：可攜式裝置：健康監控
PC10702-0555	交感神經系統：脂肪肝：肝炎
PB10702-2638	無線區域網路：媒體存取層：ieee 802：11ax：正交頻分多址技術：隨機存取
PB10702-2639	肝臟組織切片影像分析：肝臟發炎分析：深度學習：肝癌組織偵測：多解析影像融合網路
PB10702-1992	氧化還原敏感性核種：離子層析儀：感應耦合電漿原子放射光譜
PF10702-0541	人工智慧：風險管制：全球治理：法律與倫理：大數據與演算法：隱私保護：歧視與分配正義：國際法
PA10702-0425	數學學門業務推展：數學學門重點研究領域：計畫審查
PB10702-2158	霧運算：智能運算：物聯網：雲端計算
PB10702-2660	命名單元擷取：謠言偵測：隱藏馬卡夫模型：主題模型
PA10702-0527	多孔材料：導電高分子：能源儲存
PC10702-0537	組織工程：積層生物製造：生物反應器：拉脹結構：力學刺激：間葉幹細胞
PB10702-2662	壓瘡分析：褥瘡：深度學習：影像處理
PB10702-2663	機器人：無人駕駛車：ai：機械手臂：運動生成：運動控制
PB10702-1971	飛行控制電腦：線傳飛控：裕度：四重裕度飛控系統：容錯控制
PC10702-0529	錐形射束電腦斷層掃描儀：c型臂cbct：cbct劑量管理：劑量指標
PB10702-2258	藥物傳遞：癌症治療：功能性材料：腫瘤晶片：藥物控制釋放
PB10702-2261	伸縮力：寡胜肽：可伸縮感測元件：光電高分子：電子皮膚
PA10702-0493	轉譯控制：環境逆境：基因表現：核糖體定序
PB10702-2668	智慧系統生物：精準藥物開發：智慧計算精準醫藥平台：全方位整合醫藥服務平台：仿生機器學習：深度學習：統計學習：強化學習
PF10702-0491	醫療輻射防護：護理類大學生：科普知識
PC10702-0533	腫瘤厄惹電子治療：五碘去氧尿嘧啶
PC10702-0629	血漿銅藍蛋白：鐵離子：缺氧誘導因子：肺癌
PA10702-0464	北南海：音傳：內波：大陸斜坡：斜坡邊緣：大陸棚：聲學變動性：聲場不確定性
PB10702-2124	無人水下載具：自主式水下載具：仿生水下載具：機器魚：潛艦國造
PB10702-2669	約日節律：生理時鐘：轉錄體分析：遺傳變異：基因調控網路：老化：性別差異：睡眠型態：阿茲海默症
PB10702-2670	人工智慧：機器人：橘色科技
PB10702-2680	肝癌：球型栓塞：微創手術：摺疊式醫材：鎳鈦合金
PB10702-2681	憂鬱症：spark平台：醫療輔助決策系統：異質資料分析
PF10702-0442	schmitt：weber：國家性：政治性：國家觀：統治
PD10702-0253	臨床前動物試驗：委外服務：技術平台：實驗動物中心
PF10702-0500	正向心理學：自我寬恕：悲憫疲憊：職場健康：心理安適
PF10702-0465	教師工會：勞動者權益：工會組織：壓力團體：民族誌
PB10702-2740	互動設計：物聯網：機器對機器：穿戴式設備：無線通訊：動態數值感測
PB10702-2741	人工智慧：腦波人機介面：中風復健：失智症：居家照護：教學生理回饋
PB10702-2085	非揮發性記憶體：高效節能系統：記憶體及存儲系統
PE10702-0204	聲音地景：地理資訊系統：原住民知識：應用人類學：感官人類學
PA10702-0556	軟式隱形眼鏡：角膜塑型片：淚膜蛋白質：蛋白質吸附：蛋白質變性：生物摩擦學：生物反應
PG10702-0159	醫療器材：人因：可用性：法規
PG10702-0163	高效能液相層析結合感應耦合電漿質譜儀
PG10702-0266	青光眼：標靶藥物：rock激酶抑制劑：雙標靶抑制劑：紅眼症
PG10702-0229	膜/卷曲-螺旋結構族群-3：多重抗藥性：克雷白氏肺炎桿菌：可誘導共刺激分子
PG10702-0220	再生能源：離岸風力發電：地質與地工模式：海域環境資料庫
PG10702-0214	優良實驗室操作：非臨床安全試驗
PG10703-0222	末期病患：安寧住院：緩和醫療家庭諮詢：安寧共照
PG10703-0062	微流體分餾裝置：紙基檢測系統：二氧化硫
PG10704-0041	腸病毒：呼吸道病毒：流行型別：基因資料庫
PG10701-0241	抗生素：抗生素抗藥性自動通報系統
PE10701-0151	羅蘭‧巴特：法蘭西公學院講授課：烏托邦的追尋：倫理
PA10701-0669	颱風大小：海水面降溫作用：颱風強度變化：氣候變遷
PA10701-0551	飲食限制：老化：甲基化：線蟲
PB10701-0315	磊晶gesn：結晶態zrtio4：稀土氧化物：電漿浸沒離子佈植：微波回火：gesn 電晶體：無接面式gesn穿隧電晶體：zno/nio電荷陷阱層：積層式三維積體電路
PE10701-0264	粵語：粵謳：方言：知識體系：文學表述
PC10701-0653	disabled-2：inside-out 訊息傳遞：血小板：磷酸化
PF10701-0322	cdio：新南向政策：跨領域：工程教育
PA10701-0584	葉綠素：去植醇酶：分子遺傳：高溫逆境：酵素學：蛋白質功能
PC10701-0567	孩童：氣喘：統合分析：全基因體研究：基因環境交互作用
PC10701-0339	大麻受體：trpv1：cav3：脊髓：背根神經節：神經病變疼痛：發炎
PG10701-0556	耗能標準：耗能總量管制：核章作業
PG10701-0557	耐震評估：耐震補強：供公眾使用私有建築物
PG10702-0156	再生能源：併網：高佔比
PG10612-0212	慈湖：陵水湖：瓊林水庫：蘭湖水庫：擎天水庫：濕地：水質
PE10702-0242	自治：自決：自治：再建構：自治主體：原住民：去殖民化：部落公法人
PB10702-2308	高頻交易：機器學習：大數據：計算智能
PE10702-0227	原住民部落：知識學習：網絡關係：知識經濟：知識導向發展
PF10702-0551	沖刷監測系統：橋墩沖刷深度：早期預警報系統：無線寬頻通訊：橋梁安全評估
PA10702-0547	拓樸相變：拓樸材料：低維材料：異質結構：第一原理：能帶理論：氧化物：磁性材料：自旋軌道耦合.
PB10702-2127	貝蒙論壇：學門業務：永續發展：永續科學：國際合作：研究規劃
PE10702-0249	人文沙龍：演講：論壇：工作坊
PD10702-0227	傳染性化膿性病毒：先天免疫反應：核蛋白90/45 二聚體
PB10702-2485	程式碼抄襲：抄襲偵測：程式相似度：智慧型代理人
PB10702-2486	軟體定義網路：軟體定義網路交換中心：動態路由：國際實驗平臺
PC10702-0610	巴金森症：胰島素阻抗：粒腺體：α-synuclein：胞外體
PB10702-2487	資料庫：離岸風場：基礎設計：基礎維護
PB10702-2488	電腦賽局遊戲：工作層級運算模式：工作層級運算系統：志願型運算系統：證明數搜尋：alpha-beta搜尋：蒙地卡羅樹狀搜尋：深度學習：圍棋：殺光圍棋：六子棋：幻影對局：外圍開局五子棋：５五將棋：黑白棋
PF10702-0520	零金利下限：非傳統金融政策：使用不均一分散之識別：國際溢出效應：台灣
PC10702-0589	環境重金屬：無機砷代謝：微生物叢體：腎臟功能
PB10702-2572	智慧技術：機器學習：資料探勘：深度學習：人工智慧知覺：自然語言學習：人工智慧和法律
PF10702-0555	科學學習：眼球追蹤：自動回饋系統：虛擬實境vr：混合實境mr
PB10702-1976	skb：主變形帶：地震引致位移：關鍵性裂面尺寸：廢料罐
PB10702-2665	人工智慧：機器聯網：深度學習：剩餘壽命：顫振控制：溫升補償：刀具磨耗
PB10702-2666	軟體定義系統：軟體定義儲存系統：安全通訊：隱私洩漏防範：弱點分析
PB10702-2012	模擬最佳化：機率分枝界限法：隨機搜尋：柏拉圖最佳化
PC10702-0564	失智症：路易氏體失智症：輕度智能障礙：生物指標
PA10702-0545	植物激素運輸：abc運輸蛋白：蛋白質晶體學：低溫電子顯微鏡：結合性蛋白質體學
PD10702-0177	生態農業：作物模型：時間變化：區域差異：土壤肥力：氣候因子：環境因子：水稻：糧食作物：氣候變遷：多變數分析：迴歸分析：耕作
PC10702-0704	人類腸道微生物相：慢性腎臟病：益生菌
PB10702-2671	原生廣告：資料生成：深度學習
PC10702-0590	氯硝柳胺：骨癌：轉移：血管新生
PB10702-2672	模糊集合：群組遺傳演算法：群組股票投資組合最佳化問題：島群式演化技術：交易策略
PB10702-2673	深度學習：卷積類神經網路：乳房超音波：彈性超音波：電腦輔助診斷系統
